"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"group_2197","","hypothetical protein","13","13","1","1","1835","59","4","","476","476","476","GPSC15_reference_01403","GPSC17_reference_01481","GPSC22_reference_01446","GPSC25_reference_01575","GPSC26_reference_01553","GPSC32_reference_01587","GPSC34_reference_01504","GPSC37_reference_01440","GPSC3_reference_01549","GPSC4_reference_01479","GPSC5_reference_01561","GPSC8_reference_01566","","NC_017592_01462"
"group_2198","","hypothetical protein","13","13","1","1","1838","59","5","","212","212","212","GPSC15_reference_01404","GPSC17_reference_01482","GPSC22_reference_01447","GPSC25_reference_01576","GPSC26_reference_01554","GPSC32_reference_01588","GPSC34_reference_01505","GPSC37_reference_01441","GPSC3_reference_01550","GPSC4_reference_01480","GPSC5_reference_01562","GPSC8_reference_01567","","NC_017592_01463"
"group_2205","","hypothetical protein","13","13","1","1","1885","121","1","","1073","1073","1073","GPSC15_reference_01434","GPSC17_reference_01504","GPSC22_reference_01463","GPSC25_reference_01593","GPSC26_reference_01570","GPSC32_reference_01604","GPSC34_reference_01521","GPSC37_reference_01468","GPSC3_reference_01565","GPSC4_reference_01496","GPSC5_reference_01589","GPSC8_reference_01597","","NC_017592_01492"
"psaA","","Manganese ABC transporter substrate-binding lipoprotein","13","13","1","1","2684","262","1","","929","929","929","GPSC15_reference_01448","GPSC17_reference_01519","GPSC22_reference_01477","GPSC25_reference_01608","GPSC26_reference_01584","GPSC32_reference_01618","GPSC34_reference_01536","GPSC37_reference_01482","GPSC3_reference_01579","GPSC4_reference_01512","GPSC5_reference_01601","GPSC8_reference_01611","","NC_017592_01506"
"group_2208","","hypothetical protein","13","13","1","1","2672","17","16","","785","785","785","GPSC15_reference_01459","GPSC17_reference_01528","GPSC22_reference_01486","GPSC25_reference_01616","GPSC26_reference_01594","GPSC32_reference_01629","GPSC34_reference_01547","GPSC37_reference_01494","GPSC3_reference_01589","GPSC4_reference_01522","GPSC5_reference_01611","GPSC8_reference_01622","","NC_017592_01518"
"sepF","","Cell division protein SepF","13","13","1","1","2670","17","14","","539","539","539","GPSC15_reference_01461","GPSC17_reference_01530","GPSC22_reference_01488","GPSC25_reference_01618","GPSC26_reference_01596","GPSC32_reference_01631","GPSC34_reference_01549","GPSC37_reference_01496","GPSC3_reference_01591","GPSC4_reference_01524","GPSC5_reference_01613","GPSC8_reference_01624","","NC_017592_01520"
"group_2210","","Pyridoxal phosphate homeostasis protein","13","13","1","1","2669","17","13","","671","671","671","GPSC15_reference_01462","GPSC17_reference_01531","GPSC22_reference_01489","GPSC25_reference_01619","GPSC26_reference_01597","GPSC32_reference_01632","GPSC34_reference_01550","GPSC37_reference_01497","GPSC3_reference_01592","GPSC4_reference_01525","GPSC5_reference_01614","GPSC8_reference_01625","","NC_017592_01521"
"ftsZ","","Cell division protein FtsZ","13","13","1","1","2668","17","12","","1259","1259","1259","GPSC15_reference_01463","GPSC17_reference_01532","GPSC22_reference_01490","GPSC25_reference_01620","GPSC26_reference_01598","GPSC32_reference_01633","GPSC34_reference_01551","GPSC37_reference_01498","GPSC3_reference_01593","GPSC4_reference_01526","GPSC5_reference_01615","GPSC8_reference_01626","","NC_017592_01522"
"ftsA","","Cell division protein FtsA","13","13","1","1","2667","17","11","","1373","1373","1373","GPSC15_reference_01464","GPSC17_reference_01533","GPSC22_reference_01491","GPSC25_reference_01621","GPSC26_reference_01599","GPSC32_reference_01634","GPSC34_reference_01552","GPSC37_reference_01499","GPSC3_reference_01594","GPSC4_reference_01527","GPSC5_reference_01616","GPSC8_reference_01627","","NC_017592_01523"
"group_2213","","hypothetical protein","13","13","1","1","2666","17","10","","704","704","704","GPSC15_reference_01465","GPSC17_reference_01534","GPSC22_reference_01492","GPSC25_reference_01622","GPSC26_reference_01600","GPSC32_reference_01635","GPSC34_reference_01553","GPSC37_reference_01500","GPSC3_reference_01595","GPSC4_reference_01528","GPSC5_reference_01617","GPSC8_reference_01628","","NC_017592_01524"
"ybbH","","putative HTH-type transcriptional regulator YbbH","13","13","1","1","2657","110","1","","851","851","851","GPSC15_reference_01471","GPSC17_reference_01540","GPSC22_reference_01498","GPSC25_reference_01628","GPSC26_reference_01607","GPSC32_reference_01640","GPSC34_reference_01558","GPSC37_reference_01506","GPSC3_reference_01601","GPSC4_reference_01534","GPSC5_reference_01623","GPSC8_reference_01634","","NC_017592_01530"
"ptsG_2","","PTS system glucose-specific EIICBA component","13","13","1","1","2422","108","2","","1517","1517","1517","GPSC15_reference_01480","GPSC17_reference_01549","GPSC22_reference_01507","GPSC25_reference_01637","GPSC26_reference_01616","GPSC32_reference_01649","GPSC34_reference_01567","GPSC37_reference_01515","GPSC3_reference_01610","GPSC4_reference_01543","GPSC5_reference_01633","GPSC8_reference_01643","","NC_017592_01539"
"group_2216","","hypothetical protein","13","13","1","1","2434","1","967","","227","227","227","GPSC15_reference_01491","GPSC17_reference_01559","GPSC22_reference_01517","GPSC25_reference_01647","GPSC26_reference_01626","GPSC32_reference_01659","GPSC34_reference_01579","GPSC37_reference_01525","GPSC3_reference_01623","GPSC4_reference_01554","GPSC5_reference_01643","GPSC8_reference_01653","","NC_017592_01549"
"axeA","","Cephalosporin-C deacetylase","13","13","1","1","2435","1","959","","980","980","980","GPSC15_reference_01492","GPSC17_reference_01561","GPSC22_reference_01518","GPSC25_reference_01648","GPSC26_reference_01628","GPSC32_reference_01660","GPSC34_reference_01580","GPSC37_reference_01526","GPSC3_reference_01625","GPSC4_reference_01556","GPSC5_reference_01644","GPSC8_reference_01655","","NC_017592_01550"
"alr","","Alanine racemase","13","13","1","1","2399","148","1","","1103","1103","1103","GPSC15_reference_01495","GPSC17_reference_01563","GPSC22_reference_01520","GPSC25_reference_01650","GPSC26_reference_01630","GPSC32_reference_01662","GPSC34_reference_01583","GPSC37_reference_01529","GPSC3_reference_01627","GPSC4_reference_01558","GPSC5_reference_01647","GPSC8_reference_01658","","NC_017592_01552"
"acpS","","Holo-[acyl-carrier-protein] synthase","13","13","1","1","2398","148","2","","368","368","368","GPSC15_reference_01496","GPSC17_reference_01564","GPSC22_reference_01521","GPSC25_reference_01651","GPSC26_reference_01631","GPSC32_reference_01663","GPSC34_reference_01584","GPSC37_reference_01530","GPSC3_reference_01628","GPSC4_reference_01559","GPSC5_reference_01648","GPSC8_reference_01659","","NC_017592_01553"
"aroG","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","13","13","1","1","2393","222","1","","1031","1031","1031","GPSC15_reference_01498","GPSC17_reference_01566","GPSC22_reference_01523","GPSC25_reference_01653","GPSC26_reference_01633","GPSC32_reference_01665","GPSC34_reference_01586","GPSC37_reference_01532","GPSC3_reference_01630","GPSC4_reference_01561","GPSC5_reference_01650","GPSC8_reference_01661","","NC_017592_01555"
"group_2222","","hypothetical protein","13","13","1","1","2373","114","1","","767","767","767","GPSC15_reference_01513","GPSC17_reference_01581","GPSC22_reference_01537","GPSC25_reference_01668","GPSC26_reference_01648","GPSC32_reference_01681","GPSC34_reference_01601","GPSC37_reference_01546","GPSC3_reference_01644","GPSC4_reference_01578","GPSC5_reference_01668","GPSC8_reference_01677","","NC_017592_01570"
"group_2224","","hypothetical protein","13","13","1","1","2344","63","5","","449","449","449","GPSC15_reference_01526","GPSC17_reference_01593","GPSC22_reference_01550","GPSC25_reference_01681","GPSC26_reference_01662","GPSC32_reference_01693","GPSC34_reference_01614","GPSC37_reference_01558","GPSC3_reference_01656","GPSC4_reference_01592","GPSC5_reference_01681","GPSC8_reference_01690","","NC_017592_01582"
"stkP","","Serine/threonine-protein kinase StkP","13","13","1","1","2341","70","1","","1979","1979","1979","GPSC15_reference_01528","GPSC17_reference_01595","GPSC22_reference_01552","GPSC25_reference_01683","GPSC26_reference_01664","GPSC32_reference_01695","GPSC34_reference_01616","GPSC37_reference_01560","GPSC3_reference_01658","GPSC4_reference_01594","GPSC5_reference_01683","GPSC8_reference_01692","","NC_017592_01584"
"phpP","","Protein phosphatase PhpP","13","13","1","1","2340","70","3","","740","740","740","GPSC15_reference_01529","GPSC17_reference_01596","GPSC22_reference_01553","GPSC25_reference_01684","GPSC26_reference_01665","GPSC32_reference_01696","GPSC34_reference_01617","GPSC37_reference_01561","GPSC3_reference_01659","GPSC4_reference_01595","GPSC5_reference_01684","GPSC8_reference_01693","","NC_017592_01585"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","13","13","1","1","2339","70","2","","1313","1313","1313","GPSC15_reference_01530","GPSC17_reference_01597","GPSC22_reference_01554","GPSC25_reference_01685","GPSC26_reference_01666","GPSC32_reference_01697","GPSC34_reference_01618","GPSC37_reference_01562","GPSC3_reference_01660","GPSC4_reference_01596","GPSC5_reference_01685","GPSC8_reference_01694","","NC_017592_01586"
"group_2229","","hypothetical protein","13","13","1","1","2319","76","3","","908","908","908","GPSC15_reference_01547","GPSC17_reference_01613","GPSC22_reference_01571","GPSC25_reference_01701","GPSC26_reference_01684","GPSC32_reference_01714","GPSC34_reference_01634","GPSC37_reference_01578","GPSC3_reference_01677","GPSC4_reference_01612","GPSC5_reference_01701","GPSC8_reference_01710","","NC_017592_01602"
"ykuT","","putative MscS family protein YkuT","13","13","1","1","2318","76","2","","560","560","560","GPSC15_reference_01548","GPSC17_reference_01614","GPSC22_reference_01572","GPSC25_reference_01702","GPSC26_reference_01685","GPSC32_reference_01715","GPSC34_reference_01635","GPSC37_reference_01579","GPSC3_reference_01678","GPSC4_reference_01613","GPSC5_reference_01702","GPSC8_reference_01711","","NC_017592_01603"
"group_2231","","hypothetical protein","13","13","1","1","2310","100","6","","221","221","221","GPSC15_reference_01552","GPSC17_reference_01642","GPSC22_reference_01599","GPSC25_reference_01706","GPSC26_reference_01689","GPSC32_reference_01719","GPSC34_reference_01639","GPSC37_reference_01606","GPSC3_reference_01682","GPSC4_reference_01638","GPSC5_reference_01706","GPSC8_reference_01739","","NC_017592_01607"
"trxA","","Thioredoxin","13","13","1","1","2309","100","5","","314","314","314","GPSC15_reference_01553","GPSC17_reference_01643","GPSC22_reference_01600","GPSC25_reference_01707","GPSC26_reference_01690","GPSC32_reference_01720","GPSC34_reference_01640","","GPSC3_reference_01683","GPSC4_reference_01639","GPSC5_reference_01707","GPSC8_reference_01740","JYGP01_00321","NC_017592_01608"
"group_2234","","hypothetical protein","13","13","1","1","2283","86","2","","452","452","452","GPSC15_reference_01564","GPSC17_reference_01655","GPSC22_reference_01614","GPSC25_reference_01719","GPSC26_reference_01702","GPSC32_reference_01731","GPSC34_reference_01651","GPSC37_reference_01617","GPSC3_reference_01696","GPSC4_reference_01651","GPSC5_reference_01718","GPSC8_reference_01751","","NC_017592_01619"
"group_2239","","Putative trans-acting regulator","13","13","1","1","2258","2","50","","1481","1481","1481","GPSC15_reference_01574","GPSC17_reference_01665","GPSC22_reference_01623","GPSC25_reference_01728","GPSC26_reference_01713","GPSC32_reference_01740","GPSC34_reference_01656","GPSC37_reference_01636","GPSC3_reference_01706","GPSC4_reference_01659","GPSC5_reference_01727","GPSC8_reference_01770","","NC_017592_01639"
"group_2240","","hypothetical protein","13","13","1","1","2253","2","52","","566","566","566","GPSC15_reference_01576","GPSC17_reference_01667","GPSC22_reference_01625","GPSC25_reference_01730","GPSC26_reference_01715","GPSC32_reference_01742","GPSC34_reference_01658","GPSC37_reference_01638","GPSC3_reference_01707","GPSC4_reference_01661","GPSC5_reference_01729","GPSC8_reference_01772","","NC_017592_01641"
"group_2241","","hypothetical protein","13","13","1","1","2252","2","53","","170","170","170","GPSC15_reference_01577","GPSC17_reference_01668","GPSC22_reference_01626","GPSC25_reference_01731","GPSC26_reference_01716","GPSC32_reference_01743","GPSC34_reference_01659","GPSC37_reference_01639","GPSC3_reference_01708","GPSC4_reference_01662","GPSC5_reference_01730","GPSC8_reference_01773","","NC_017592_01642"
"group_2242","","hypothetical protein","13","13","1","1","2251","2","54","","608","608","608","GPSC15_reference_01578","GPSC17_reference_01669","GPSC22_reference_01627","GPSC25_reference_01732","GPSC26_reference_01717","GPSC32_reference_01744","GPSC34_reference_01660","GPSC37_reference_01640","GPSC3_reference_01709","GPSC4_reference_01663","GPSC5_reference_01731","GPSC8_reference_01774","","NC_017592_01643"
"trpC","","Indole-3-glycerol phosphate synthase","13","13","1","1","1234","129","1","","767","767","767","GPSC15_reference_01595","GPSC17_reference_01686","GPSC22_reference_01645","GPSC25_reference_01748","GPSC26_reference_01735","GPSC32_reference_01753","GPSC34_reference_01679","GPSC37_reference_01649","GPSC3_reference_01728","GPSC4_reference_01680","GPSC5_reference_01749","GPSC8_reference_01792","","NC_017592_01661"
"ccpA_1","","Catabolite control protein A","13","13","1","1","1239","12","11","","1001","1001","1001","GPSC15_reference_01600","GPSC17_reference_01690","GPSC22_reference_01650","GPSC25_reference_01752","GPSC26_reference_01740","GPSC32_reference_01757","GPSC34_reference_01683","GPSC37_reference_01654","GPSC3_reference_01732","GPSC4_reference_01684","GPSC5_reference_01753","GPSC8_reference_01797","","NC_017592_01666"
"group_2251","","hypothetical protein","13","13","1","1","1241","12","13","","710","710","710","GPSC15_reference_01602","GPSC17_reference_01692","GPSC22_reference_01652","GPSC25_reference_01754","GPSC26_reference_01742","GPSC32_reference_01759","GPSC34_reference_01685","GPSC37_reference_01656","GPSC3_reference_01734","GPSC4_reference_01686","GPSC5_reference_01755","GPSC8_reference_01799","","NC_017592_01668"
"group_2252","","hypothetical protein","13","13","1","1","1242","12","14","","1691","1691","1691","GPSC15_reference_01603","GPSC17_reference_01693","GPSC22_reference_01653","GPSC25_reference_01755","GPSC26_reference_01743","GPSC32_reference_01760","GPSC34_reference_01686","GPSC37_reference_01657","GPSC3_reference_01735","GPSC4_reference_01687","GPSC5_reference_01756","GPSC8_reference_01800","","NC_017592_01669"
"group_2253","","hypothetical protein","13","13","1","1","1247","12","9","","659","659","659","GPSC15_reference_01607","GPSC17_reference_01696","GPSC22_reference_01656","GPSC25_reference_01758","GPSC26_reference_01746","GPSC32_reference_01763","GPSC34_reference_01689","GPSC37_reference_01660","GPSC3_reference_01738","GPSC4_reference_01690","GPSC5_reference_01759","GPSC8_reference_01803","","NC_017592_01672"
"pfbA","","Plasmin and fibronectin-binding protein A","13","13","1","1","1250","12","7","","2126","2126","2126","GPSC15_reference_01613","GPSC17_reference_01698","GPSC22_reference_01658","GPSC25_reference_01760","GPSC26_reference_01748","GPSC32_reference_01765","GPSC34_reference_01691","GPSC37_reference_01662","GPSC3_reference_01744","GPSC4_reference_01696","GPSC5_reference_01761","GPSC8_reference_01805","","NC_017592_01674"
"adhR","","HTH-type transcriptional regulator AdhR","13","13","1","1","1364","39","5","","353","353","353","GPSC15_reference_01632","GPSC17_reference_01718","GPSC22_reference_01678","GPSC25_reference_01780","GPSC26_reference_01768","GPSC32_reference_01785","GPSC34_reference_01710","GPSC37_reference_01681","GPSC3_reference_01764","GPSC4_reference_01717","GPSC5_reference_01782","GPSC8_reference_01825","","NC_017592_01694"
"czcD","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","13","13","1","1","1363","39","4","","890","890","890","GPSC15_reference_01633","GPSC17_reference_01719","GPSC22_reference_01679","GPSC25_reference_01781","GPSC26_reference_01769","GPSC32_reference_01786","GPSC34_reference_01711","GPSC37_reference_01682","GPSC3_reference_01765","GPSC4_reference_01718","GPSC5_reference_01783","GPSC8_reference_01826","","NC_017592_01695"
"group_2263","","hypothetical protein","13","13","1","1","1361","39","1","","806","806","806","GPSC15_reference_01635","GPSC17_reference_01721","GPSC22_reference_01681","GPSC25_reference_01783","GPSC26_reference_01771","GPSC32_reference_01788","GPSC34_reference_01713","GPSC37_reference_01684","GPSC3_reference_01767","GPSC4_reference_01720","GPSC5_reference_01785","GPSC8_reference_01828","","NC_017592_01697"
"group_2264","","hypothetical protein","13","13","1","1","1357","140","1","","443","443","443","GPSC15_reference_01639","GPSC17_reference_01725","GPSC22_reference_01685","GPSC25_reference_01787","GPSC26_reference_01775","GPSC32_reference_01792","GPSC34_reference_01717","GPSC37_reference_01688","GPSC3_reference_01771","GPSC4_reference_01724","GPSC5_reference_01789","GPSC8_reference_01832","","NC_017592_01701"
"yclO","","Petrobactin import system permease protein YclO","13","13","1","1","1306","221","1","","956","956","956","GPSC15_reference_01644","GPSC17_reference_01730","GPSC22_reference_01690","GPSC25_reference_01792","GPSC26_reference_01780","GPSC32_reference_01797","GPSC34_reference_01722","GPSC37_reference_01693","GPSC3_reference_01776","GPSC4_reference_01729","GPSC5_reference_01794","GPSC8_reference_01837","","NC_017592_01706"
"yclQ","","Petrobactin-binding protein YclQ","13","13","1","1","1304","133","2","","965","965","965","GPSC15_reference_01646","GPSC17_reference_01732","GPSC22_reference_01692","GPSC25_reference_01794","GPSC26_reference_01782","GPSC32_reference_01799","GPSC34_reference_01724","GPSC37_reference_01695","GPSC3_reference_01778","GPSC4_reference_01731","GPSC5_reference_01796","GPSC8_reference_01839","","NC_017592_01708"
"group_2267","","Putative membrane protein insertion efficiency factor","13","13","1","1","1303","133","1","","242","242","242","GPSC15_reference_01647","GPSC17_reference_01733","GPSC22_reference_01693","GPSC25_reference_01795","GPSC26_reference_01783","GPSC32_reference_01800","GPSC34_reference_01725","GPSC37_reference_01696","GPSC3_reference_01779","GPSC4_reference_01732","GPSC5_reference_01797","GPSC8_reference_01840","","NC_017592_01709"
"group_2268","","dITP/XTP pyrophosphatase","13","13","1","1","1274","201","1","","971","971","971","GPSC15_reference_01654","GPSC17_reference_01740","GPSC22_reference_01700","GPSC25_reference_01802","GPSC26_reference_01790","GPSC32_reference_01807","GPSC34_reference_01732","GPSC37_reference_01703","GPSC3_reference_01786","GPSC4_reference_01739","GPSC5_reference_01804","GPSC8_reference_01847","","NC_017592_01716"
"treA","","Trehalose-6-phosphate hydrolase","13","13","1","1","1277","11","1","","1625","1625","1625","GPSC15_reference_01657","GPSC17_reference_01743","GPSC22_reference_01703","GPSC25_reference_01805","GPSC26_reference_01793","GPSC32_reference_01810","GPSC34_reference_01735","GPSC37_reference_01706","GPSC3_reference_01789","GPSC4_reference_01742","GPSC5_reference_01807","GPSC8_reference_01850","","NC_017592_01719"
"ybbA","","putative protein YbbA","13","15","1.16","1","2448","","","","335","824","730","","GPSC17_reference_00831","GPSC22_reference_00799","GPSC25_reference_00937","GPSC26_reference_00824","GPSC32_reference_00883","GPSC34_reference_00837","GPSC37_reference_00829","GPSC3_reference_00818	GPSC3_reference_00820	GPSC3_reference_00819","GPSC4_reference_00779","GPSC5_reference_00873","GPSC8_reference_00882","JYGP01_01079","NC_017592_00824"
"group_2270","","hypothetical protein","13","13","1","1","1278","11","2","","1967","1967","1967","GPSC15_reference_01658","GPSC17_reference_01744","GPSC22_reference_01704","GPSC25_reference_01806","GPSC26_reference_01794","GPSC32_reference_01811","GPSC34_reference_01736","GPSC37_reference_01707","GPSC3_reference_01790","GPSC4_reference_01743","GPSC5_reference_01808","GPSC8_reference_01851","","NC_017592_01720"
"treR","","HTH-type transcriptional regulator TreR","13","13","1","1","1279","11","24","","710","710","710","GPSC15_reference_01659","GPSC17_reference_01745","GPSC22_reference_01705","GPSC25_reference_01807","GPSC26_reference_01795","GPSC32_reference_01812","GPSC34_reference_01737","GPSC37_reference_01708","GPSC3_reference_01791","GPSC4_reference_01744","GPSC5_reference_01809","GPSC8_reference_01852","","NC_017592_01721"
"group_2272","","hypothetical protein","13","13","1","1","1295","124","2","","1496","1496","1496","GPSC15_reference_01664","GPSC17_reference_01754","GPSC22_reference_01713","GPSC25_reference_01815","GPSC26_reference_01804","GPSC32_reference_01821","GPSC34_reference_01744","GPSC37_reference_01715","GPSC3_reference_01800","GPSC4_reference_01751","GPSC5_reference_02008","GPSC8_reference_01860","","NC_017592_01728"
"ngcG","","Diacetylchitobiose uptake system permease protein NgcG","13","13","1","1","2770","16","5","","833","833","833","GPSC15_reference_01668","GPSC17_reference_01758","GPSC22_reference_01718","GPSC25_reference_01820","GPSC26_reference_01808","GPSC32_reference_01825","GPSC34_reference_01749","GPSC37_reference_01720","GPSC3_reference_01804","GPSC4_reference_01755","GPSC5_reference_02012","GPSC8_reference_01865","","NC_017592_01732"
"melD_1","","Melibiose/raffinose/stachyose import permease protein MelD","13","13","1","1","2769","16","3","","866","866","866","GPSC15_reference_01669","GPSC17_reference_01759","GPSC22_reference_01719","GPSC25_reference_01821","GPSC26_reference_01809","GPSC32_reference_01826","GPSC34_reference_01750","GPSC37_reference_01721","GPSC3_reference_01805","GPSC4_reference_01756","GPSC5_reference_02013","GPSC8_reference_01866","","NC_017592_01733"
"msmE","","Multiple sugar-binding protein","13","13","1","1","2768","16","2","","1259","1259","1259","GPSC15_reference_01670","GPSC17_reference_01760","GPSC22_reference_01720","GPSC25_reference_01822","GPSC26_reference_01810","GPSC32_reference_01827","GPSC34_reference_01751","GPSC37_reference_01722","GPSC3_reference_01806","GPSC4_reference_01757","GPSC5_reference_02014","GPSC8_reference_01867","","NC_017592_01734"
"birA","","Bifunctional ligase/repressor BirA","13","13","1","1","2763","11","19","","935","935","935","GPSC15_reference_01673","GPSC17_reference_01763","GPSC22_reference_01723","GPSC25_reference_01825","GPSC26_reference_01813","GPSC32_reference_01830","GPSC34_reference_01754","GPSC37_reference_01725","GPSC3_reference_01809","GPSC4_reference_01760","GPSC5_reference_02017","GPSC8_reference_01870","","NC_017592_01737"
"group_2280","","hypothetical protein","13","13","1","1","2719","4","8","","410","410","410","GPSC15_reference_01708","GPSC17_reference_01797","GPSC22_reference_01762","GPSC25_reference_01852","GPSC26_reference_01858","GPSC32_reference_01864","GPSC34_reference_01786","GPSC37_reference_01759","GPSC3_reference_01853","GPSC4_reference_01794","GPSC5_reference_01836","GPSC8_reference_01916","","NC_017592_01784"
"group_2281","","hypothetical protein","13","13","1","1","2718","4","9","","608","608","608","GPSC15_reference_01709","GPSC17_reference_01798","GPSC22_reference_01763","GPSC25_reference_01853","GPSC26_reference_01859","GPSC32_reference_01865","GPSC34_reference_01787","GPSC37_reference_01760","GPSC3_reference_01854","GPSC4_reference_01795","GPSC5_reference_01837","GPSC8_reference_01917","","NC_017592_01785"
"group_2282","","hypothetical protein","13","13","1","1","2717","4","10","","458","458","458","GPSC15_reference_01710","GPSC17_reference_01799","GPSC22_reference_01764","GPSC25_reference_01854","GPSC26_reference_01860","GPSC32_reference_01866","GPSC34_reference_01788","GPSC37_reference_01761","GPSC3_reference_01855","GPSC4_reference_01796","GPSC5_reference_01838","GPSC8_reference_01918","","NC_017592_01786"
"recA","","Protein RecA","13","13","1","1","2696","21","5","","1166","1166","1166","GPSC15_reference_01722","GPSC17_reference_01809","GPSC22_reference_01775","GPSC25_reference_01874","GPSC26_reference_01874","GPSC32_reference_01878","GPSC34_reference_01801","GPSC37_reference_01781","GPSC3_reference_01866","GPSC4_reference_01808","GPSC5_reference_01857","GPSC8_reference_01929","","NC_017592_01797"
"cinA","","Putative competence-damage inducible protein","13","13","1","1","2695","21","6","","1256","1256","1256","GPSC15_reference_01723","GPSC17_reference_01810","GPSC22_reference_01776","GPSC25_reference_01875","GPSC26_reference_01875","GPSC32_reference_01879","GPSC34_reference_01802","GPSC37_reference_01782","GPSC3_reference_01867","GPSC4_reference_01809","GPSC5_reference_01858","GPSC8_reference_01930","","NC_017592_01798"
"brpA","","Biofilm regulatory protein A","13","13","1","1","2694","21","7","","1016","1016","1016","GPSC15_reference_01724","GPSC17_reference_01811","GPSC22_reference_01777","GPSC25_reference_01876","GPSC26_reference_01876","GPSC32_reference_01880","GPSC34_reference_01803","GPSC37_reference_01783","GPSC3_reference_01868","GPSC4_reference_01810","GPSC5_reference_01859","GPSC8_reference_01931","","NC_017592_01799"
"group_2287","","hypothetical protein","13","13","1","1","2693","21","8","","518","518","518","GPSC15_reference_01725","GPSC17_reference_01812","GPSC22_reference_01778","GPSC25_reference_01877","GPSC26_reference_01877","GPSC32_reference_01881","GPSC34_reference_01804","GPSC37_reference_01784","GPSC3_reference_01869","GPSC4_reference_01811","GPSC5_reference_01860","GPSC8_reference_01932","","NC_017592_01800"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","13","13","1","1","2692","21","9","","443","443","443","GPSC15_reference_01726","GPSC17_reference_01813","GPSC22_reference_01779","GPSC25_reference_01878","GPSC26_reference_01878","GPSC32_reference_01882","GPSC34_reference_01805","GPSC37_reference_01785","GPSC3_reference_01870","GPSC4_reference_01812","GPSC5_reference_01861","GPSC8_reference_01933","","NC_017592_01801"
"group_2289","","hypothetical protein","13","13","1","1","2691","21","19","","620","620","620","GPSC15_reference_01727","GPSC17_reference_01814","GPSC22_reference_01780","GPSC25_reference_01879","GPSC26_reference_01879","GPSC32_reference_01883","GPSC34_reference_01806","GPSC37_reference_01786","GPSC3_reference_01871","GPSC4_reference_01813","GPSC5_reference_01862","GPSC8_reference_01934","","NC_017592_01802"
"ndk","","Nucleoside diphosphate kinase","13","13","1","1","2635","112","1","","413","413","413","GPSC15_reference_01732","GPSC17_reference_01820","GPSC22_reference_01786","GPSC25_reference_01885","GPSC26_reference_01885","GPSC32_reference_01896","GPSC34_reference_01812","GPSC37_reference_01792","GPSC3_reference_01876","GPSC4_reference_01818","GPSC5_reference_01869","GPSC8_reference_01940","","NC_017592_01808"
"yknY_3","","putative ABC transporter ATP-binding protein YknY","13","13","1","1","4067","40","4","","641","641","641","GPSC15_reference_01759","GPSC17_reference_01847","GPSC22_reference_01813","GPSC25_reference_01912","GPSC26_reference_01912","GPSC32_reference_01923","GPSC34_reference_01839","GPSC37_reference_01819","GPSC3_reference_01903","GPSC4_reference_01845","GPSC5_reference_01896","GPSC8_reference_01967","","NC_017592_01835"
"group_2293","","hypothetical protein","13","13","1","1","4069","40","5","","2030","2030","2030","GPSC15_reference_01760","GPSC17_reference_01848","GPSC22_reference_01814","GPSC25_reference_01913","GPSC26_reference_01913","GPSC32_reference_01924","GPSC34_reference_01840","GPSC37_reference_01820","GPSC3_reference_01904","GPSC4_reference_01846","GPSC5_reference_01897","GPSC8_reference_01968","","NC_017592_01836"
"nadC","","putative nicotinate-nucleotide pyrophosphorylase [carboxylating]","13","13","1","1","4107","13","12","","872","872","872","GPSC15_reference_01787","GPSC17_reference_01875","GPSC22_reference_01846","GPSC25_reference_01944","GPSC26_reference_01956","GPSC32_reference_01952","GPSC34_reference_01867","GPSC37_reference_01854","GPSC3_reference_01948","GPSC4_reference_01883","GPSC5_reference_01935","GPSC8_reference_02011","","NC_017592_01879"
"gmuR","","HTH-type transcriptional regulator GmuR","13","13","1","1","4104","13","5","","728","728","728","GPSC15_reference_01790","GPSC17_reference_01878","GPSC22_reference_01849","GPSC25_reference_01947","GPSC26_reference_01959","GPSC32_reference_01955","GPSC34_reference_01870","GPSC37_reference_01857","GPSC3_reference_01951","GPSC4_reference_01886","GPSC5_reference_01938","GPSC8_reference_02014","","NC_017592_01882"
"licC_4","","Lichenan permease IIC component","13","13","1","1","4102","13","3","","1295","1295","1295","GPSC15_reference_01792","GPSC17_reference_01880","GPSC22_reference_01851","GPSC25_reference_01949","GPSC26_reference_01961","GPSC32_reference_01957","GPSC34_reference_01872","GPSC37_reference_01859","GPSC3_reference_01953","GPSC4_reference_01888","GPSC5_reference_01940","GPSC8_reference_02016","","NC_017592_01884"
