"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR133985","ERR181435","ERR229952","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1173445","SRR1173640","SRR1175079","SRR1180462","SRR671749","SRR998654"
"nat","","Arylamine N-acetyltransferase","14","14","1","1","2147","","","","851","851","851","ERR133985_03751","ERR181435_03755","ERR229952_03767","ERR234202_03750","H37Rv_03753","NC_019950_03731","SRR1019139_03750","SRR1163294_03755","SRR1173445_03746","SRR1173640_03746","SRR1175079_03746","SRR1180462_03753","SRR671749_03746","SRR998654_03753"
"rho","","Transcription termination factor Rho","14","14","1","1","1519","","","","1808","1808","1808","ERR133985_01372","ERR181435_01374","ERR229952_01381","ERR234202_01380","H37Rv_01373","NC_019950_01351","SRR1019139_01376","SRR1163294_01371","SRR1173445_01373","SRR1173640_01375","SRR1175079_01373","SRR1180462_01376","SRR671749_01370","SRR998654_01371"
"cobS","","Adenosylcobinamide-GDP ribazoletransferase","14","14","1","1","3670","","","","590","746","734","ERR133985_02332","ERR181435_02336","ERR229952_02344","ERR234202_02336","H37Rv_02331","NC_019950_02316","SRR1019139_02333","SRR1163294_02336","SRR1173445_02332","SRR1173640_02334","SRR1175079_02334","SRR1180462_02336","SRR671749_02329","SRR998654_02332"
"group_4200","","hypothetical protein","14","14","1","1","3120","","","","2099","2099","2099","ERR133985_02861","ERR181435_02870","ERR229952_02877","ERR234202_02864","H37Rv_02864","NC_019950_02835","SRR1019139_02861","SRR1163294_02867","SRR1173445_02859","SRR1173640_02859","SRR1175079_02861","SRR1180462_02864","SRR671749_02858","SRR998654_02861"
"lepA","","Elongation factor 4","14","14","1","1","3454","","","","1961","1970","1968","ERR133985_02538","ERR181435_02542","ERR229952_02549","ERR234202_02540","H37Rv_02539","NC_019950_02526","SRR1019139_02537","SRR1163294_02540","SRR1173445_02536","SRR1173640_02538","SRR1175079_02539","SRR1180462_02540","SRR671749_02534","SRR998654_02537"
"miaB","","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","14","14","1","1","3110","","","","1538","1538","1538","ERR133985_02871","ERR181435_02881","ERR229952_02887","ERR234202_02874","H37Rv_02874","NC_019950_02845","SRR1019139_02871","SRR1163294_02877","SRR1173445_02869","SRR1173640_02869","SRR1175079_02871","SRR1180462_02874","SRR671749_02868","SRR998654_02871"
"mutB_2","","putative methylmalonyl-CoA mutase large subunit","14","14","1","1","4482","","","","2252","2252","2252","ERR133985_01581","ERR181435_01582","ERR229952_01588","ERR234202_01587","H37Rv_01580","NC_019950_01559","SRR1019139_01582","SRR1163294_01578","SRR1173445_01580","SRR1173640_01582","SRR1175079_01579","SRR1180462_01584","SRR671749_01577","SRR998654_01580"
"ppm1_2","","Polyprenol monophosphomannose synthase","14","14","1","1","2084","","","","725","725","725","ERR133985_03813","ERR181435_03818","ERR229952_03829","ERR234202_03813","H37Rv_03815","NC_019950_03793","SRR1019139_03812","SRR1163294_03818","SRR1173445_03808","SRR1173640_03808","SRR1175079_03808","SRR1180462_03816","SRR671749_03808","SRR998654_03816"
"group_4205","","hypothetical protein","14","14","1","1","1328","","","","1229","1229","1229","ERR133985_01191","ERR181435_01194","ERR229952_01199","ERR234202_01200","H37Rv_01191","NC_019950_01169","SRR1019139_01195","SRR1163294_01191","SRR1173445_01192","SRR1173640_01194","SRR1175079_01190","SRR1180462_01196","SRR671749_01188","SRR998654_01189"
"group_4206","","putative GMC-type oxidoreductase","14","14","1","1","629","","","","1889","1889","1889","ERR133985_00516","ERR181435_00516","ERR229952_00519","ERR234202_00522","H37Rv_00517","NC_019950_00511","SRR1019139_00520","SRR1163294_00517","SRR1173445_00519","SRR1173640_00516","SRR1175079_00516","SRR1180462_00519","SRR671749_00513","SRR998654_00514"
"group_4207","","hypothetical protein","14","14","1","1","4555","","","","1262","1262","1262","ERR133985_01509","ERR181435_01509","ERR229952_01516","ERR234202_01515","H37Rv_01508","NC_019950_01486","SRR1019139_01511","SRR1163294_01506","SRR1173445_01508","SRR1173640_01510","SRR1175079_01507","SRR1180462_01510","SRR671749_01505","SRR998654_01508"
"ctpV","","putative copper-exporting P-type ATPase V","14","14","1","1","1155","","","","2378","2378","2378","ERR133985_01024","ERR181435_01025","ERR229952_01032","ERR234202_01031","H37Rv_01024","NC_019950_01006","SRR1019139_01027","SRR1163294_01023","SRR1173445_01025","SRR1173640_01026","SRR1175079_01022","SRR1180462_01028","SRR671749_01021","SRR998654_01022"
"chp1","","SL1278 acyltransferase Chp1","14","14","1","1","1880","","","","1214","1214","1214","ERR133985_04017","ERR181435_04022","ERR229952_04033","ERR234202_04017","H37Rv_04019","NC_019950_03995","SRR1019139_04015","SRR1163294_04020","SRR1173445_04013","SRR1173640_04011","SRR1175079_04011","SRR1180462_04019","SRR671749_04013","SRR998654_04020"
"cmr","","HTH-type transcriptional regulator Cmr","14","14","1","1","4286","","","","734","734","734","ERR133985_01767","ERR181435_01769","ERR229952_01773","ERR234202_01771","H37Rv_01767","NC_019950_01739","SRR1019139_01767","SRR1163294_01768","SRR1173445_01766","SRR1173640_01771","SRR1175079_01767","SRR1180462_01769","SRR671749_01763","SRR998654_01766"
"irtB","","Iron import ATP-binding/permease protein IrtB","14","14","1","1","1572","","","","1739","1739","1739","ERR133985_01428","ERR181435_01430","ERR229952_01437","ERR234202_01436","H37Rv_01429","NC_019950_01409","SRR1019139_01432","SRR1163294_01427","SRR1173445_01429","SRR1173640_01431","SRR1175079_01429","SRR1180462_01432","SRR671749_01426","SRR998654_01428"
"mhpA","","hypothetical protein","14","14","1","1","1343","","","","1016","1016","1016","ERR133985_01204","ERR181435_01207","ERR229952_01212","ERR234202_01213","H37Rv_01204","NC_019950_01182","SRR1019139_01208","SRR1163294_01204","SRR1173445_01205","SRR1173640_01208","SRR1175079_01204","SRR1180462_01209","SRR671749_01201","SRR998654_01203"
"thrS","","Threonine--tRNA ligase","14","14","1","1","3227","","","","2078","2078","2078","ERR133985_02752","ERR181435_02760","ERR229952_02768","ERR234202_02755","H37Rv_02755","NC_019950_02744","SRR1019139_02753","SRR1163294_02757","SRR1173445_02750","SRR1173640_02750","SRR1175079_02752","SRR1180462_02755","SRR671749_02748","SRR998654_02752"
"caiA_4","","Crotonobetainyl-CoA reductase","14","14","1","1","2150","","","","953","953","953","ERR133985_03748","ERR181435_03752","ERR229952_03764","ERR234202_03747","H37Rv_03750","NC_019950_03728","SRR1019139_03747","SRR1163294_03752","SRR1173445_03743","SRR1173640_03743","SRR1175079_03743","SRR1180462_03750","SRR671749_03743","SRR998654_03750"
"group_4215","","L-gulono-1,4-lactone dehydrogenase","14","14","1","1","4169","","","","1286","1286","1286","ERR133985_01872","ERR181435_01878","ERR229952_01880","ERR234202_01876","H37Rv_01872","NC_019950_01855","SRR1019139_01873","SRR1163294_01873","SRR1173445_01872","SRR1173640_01876","SRR1175079_01874","SRR1180462_01874","SRR671749_01869","SRR998654_01872"
"lprN_1","","Lipoprotein LprN","14","14","1","1","284","","","","1172","1172","1172","ERR133985_00189","ERR181435_00190","ERR229952_00191","ERR234202_00190","H37Rv_00188","NC_019950_00191","SRR1019139_00193","SRR1163294_00190","SRR1173445_00191","SRR1173640_00191","SRR1175079_00190","SRR1180462_00191","SRR671749_00187","SRR998654_00189"
"sbpA","","Sulfate-binding protein","14","14","1","1","3459","","","","1070","1070","1070","ERR133985_02534","ERR181435_02538","ERR229952_02545","ERR234202_02536","H37Rv_02535","NC_019950_02521","SRR1019139_02533","SRR1163294_02536","SRR1173445_02532","SRR1173640_02534","SRR1175079_02535","SRR1180462_02536","SRR671749_02530","SRR998654_02533"
"group_4218","","hypothetical protein","14","14","1","1","3232","","","","1055","1055","1055","ERR133985_02747","ERR181435_02755","ERR229952_02763","ERR234202_02750","H37Rv_02750","NC_019950_02739","SRR1019139_02748","SRR1163294_02752","SRR1173445_02745","SRR1173640_02745","SRR1175079_02747","SRR1180462_02750","SRR671749_02743","SRR998654_02747"
"group_4219","","putative RNA pseudouridine synthase","14","14","1","1","4428","","","","884","884","884","ERR133985_01630","ERR181435_01631","ERR229952_01637","ERR234202_01635","H37Rv_01629","NC_019950_01609","SRR1019139_01630","SRR1163294_01628","SRR1173445_01629","SRR1173640_01632","SRR1175079_01628","SRR1180462_01633","SRR671749_01626","SRR998654_01630"
"group_422","","hypothetical protein","14","14","1","1","3649","","","","227","710","503","ERR133985_02352","ERR181435_02356","ERR229952_02364","ERR234202_02356","H37Rv_02351","NC_019950_02336","SRR1019139_02353","SRR1163294_02356","SRR1173445_02352","SRR1173640_02354","SRR1175079_02354","SRR1180462_02356","SRR671749_02349","SRR998654_02352"
"group_4220","","putative glycosyl hydrolase","14","14","1","1","3902","","","","3983","3983","3983","ERR133985_02121","ERR181435_02128","ERR229952_02133","ERR234202_02124","H37Rv_02121","NC_019950_02098","SRR1019139_02122","SRR1163294_02125","SRR1173445_02121","SRR1173640_02125","SRR1175079_02122","SRR1180462_02123","SRR671749_02119","SRR998654_02121"
"group_4221","","putative protein","14","14","1","1","3647","","","","737","737","737","ERR133985_02355","ERR181435_02358","ERR229952_02366","ERR234202_02358","H37Rv_02354","NC_019950_02338","SRR1019139_02355","SRR1163294_02358","SRR1173445_02355","SRR1173640_02357","SRR1175079_02357","SRR1180462_02358","SRR671749_02352","SRR998654_02354"
"group_4222","","hypothetical protein","14","14","1","1","2520","","","","725","725","725","ERR133985_03411","ERR181435_03416","ERR229952_03426","ERR234202_03412","H37Rv_03414","NC_019950_03388","SRR1019139_03414","SRR1163294_03420","SRR1173445_03408","SRR1173640_03407","SRR1175079_03407","SRR1180462_03417","SRR671749_03407","SRR998654_03411"
"group_4223","","hypothetical protein","14","14","1","1","2192","","","","1004","1004","1004","ERR133985_03705","ERR181435_03709","ERR229952_03721","ERR234202_03704","H37Rv_03707","NC_019950_03685","SRR1019139_03704","SRR1163294_03709","SRR1173445_03700","SRR1173640_03700","SRR1175079_03700","SRR1180462_03707","SRR671749_03700","SRR998654_03707"
"group_4224","","hypothetical protein","14","14","1","1","2583","","","","1184","1184","1184","ERR133985_03348","ERR181435_03356","ERR229952_03364","ERR234202_03351","H37Rv_03351","NC_019950_03322","SRR1019139_03351","SRR1163294_03357","SRR1173445_03346","SRR1173640_03345","SRR1175079_03345","SRR1180462_03354","SRR671749_03344","SRR998654_03348"
"ipsA","","HTH-type transcriptional regulator IpsA","14","14","1","1","2138","","","","1022","1022","1022","ERR133985_03760","ERR181435_03764","ERR229952_03776","ERR234202_03759","H37Rv_03762","NC_019950_03741","SRR1019139_03759","SRR1163294_03764","SRR1173445_03755","SRR1173640_03755","SRR1175079_03755","SRR1180462_03762","SRR671749_03755","SRR998654_03762"
"uvrD2","","ATP-dependent DNA helicase UvrD2","14","14","1","1","2571","","","","2111","2111","2111","ERR133985_03360","ERR181435_03367","ERR229952_03376","ERR234202_03362","H37Rv_03363","NC_019950_03334","SRR1019139_03363","SRR1163294_03369","SRR1173445_03358","SRR1173640_03357","SRR1175079_03357","SRR1180462_03366","SRR671749_03356","SRR998654_03360"
"group_4227","","hypothetical protein","14","14","1","1","4521","","","","785","785","785","ERR133985_01543","ERR181435_01543","ERR229952_01550","ERR234202_01549","H37Rv_01542","NC_019950_01521","SRR1019139_01544","SRR1163294_01540","SRR1173445_01542","SRR1173640_01544","SRR1175079_01541","SRR1180462_01546","SRR671749_01539","SRR998654_01542"
"group_4228","","Putative diacyglycerol O-acyltransferase","14","14","1","1","4556","","","","1319","1319","1319","ERR133985_01508","ERR181435_01508","ERR229952_01515","ERR234202_01514","H37Rv_01507","NC_019950_01485","SRR1019139_01510","SRR1163294_01505","SRR1173445_01507","SRR1173640_01509","SRR1175079_01506","SRR1180462_01509","SRR671749_01504","SRR998654_01507"
"group_4229","","putative protein","14","14","1","1","2881","","","","410","413","412","ERR133985_03064","ERR181435_03074","ERR229952_03081","ERR234202_03070","H37Rv_03068","NC_019950_03039","SRR1019139_03066","SRR1163294_03072","SRR1173445_03064","SRR1173640_03063","SRR1175079_03064","SRR1180462_03069","SRR671749_03061","SRR998654_03067"
"group_4230","","Ribonuclease VapC36","14","14","1","1","3932","","","","419","419","419","ERR133985_02091","ERR181435_02097","ERR229952_02103","ERR234202_02094","H37Rv_02091","NC_019950_02071","SRR1019139_02092","SRR1163294_02095","SRR1173445_02091","SRR1173640_02094","SRR1175079_02091","SRR1180462_02093","SRR671749_02088","SRR998654_02091"
"cobD","","Cobalamin biosynthesis protein CobD","14","14","1","1","3641","","","","959","959","959","ERR133985_02361","ERR181435_02364","ERR229952_02372","ERR234202_02364","H37Rv_02360","NC_019950_02344","SRR1019139_02361","SRR1163294_02364","SRR1173445_02361","SRR1173640_02363","SRR1175079_02363","SRR1180462_02364","SRR671749_02358","SRR998654_02360"
"group_4232","","Secreted chorismate mutase","14","14","1","1","4052","","","","599","599","599","ERR133985_01985","ERR181435_01991","ERR229952_01997","ERR234202_01989","H37Rv_01985","NC_019950_01964","SRR1019139_01986","SRR1163294_01988","SRR1173445_01984","SRR1173640_01989","SRR1175079_01986","SRR1180462_01987","SRR671749_01982","SRR998654_01985"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","14","14","1","1","699","","","","1664","1664","1664","ERR133985_00584","ERR181435_00585","ERR229952_00587","ERR234202_00589","H37Rv_00585","NC_019950_00580","SRR1019139_00588","SRR1163294_00585","SRR1173445_00587","SRR1173640_00584","SRR1175079_00584","SRR1180462_00587","SRR671749_00581","SRR998654_00582"
"ureG","","Urease accessory protein UreG","14","14","1","1","4085","","","","674","674","674","ERR133985_01952","ERR181435_01958","ERR229952_01963","ERR234202_01956","H37Rv_01952","NC_019950_01931","SRR1019139_01952","SRR1163294_01954","SRR1173445_01951","SRR1173640_01956","SRR1175079_01953","SRR1180462_01954","SRR671749_01949","SRR998654_01952"
"ftsY","","Signal recognition particle receptor FtsY","14","14","1","1","2884","","","","1268","1268","1268","ERR133985_03061","ERR181435_03071","ERR229952_03078","ERR234202_03067","H37Rv_03065","NC_019950_03036","SRR1019139_03063","SRR1163294_03069","SRR1173445_03061","SRR1173640_03060","SRR1175079_03061","SRR1180462_03066","SRR671749_03058","SRR998654_03064"
"aroG","","Phospho-2-dehydro-3-deoxyheptonate aldolase AroG","14","14","1","1","3703","","","","1388","1388","1388","ERR133985_02300","ERR181435_02303","ERR229952_02313","ERR234202_02304","H37Rv_02299","NC_019950_02284","SRR1019139_02301","SRR1163294_02304","SRR1173445_02300","SRR1173640_02303","SRR1175079_02302","SRR1180462_02304","SRR671749_02298","SRR998654_02299"
"group_4237","","putative protein","14","14","1","1","4462","","","","1298","1298","1298","ERR133985_01600","ERR181435_01600","ERR229952_01606","ERR234202_01605","H37Rv_01599","NC_019950_01578","SRR1019139_01600","SRR1163294_01597","SRR1173445_01599","SRR1173640_01601","SRR1175079_01598","SRR1180462_01602","SRR671749_01596","SRR998654_01598"
"plcC","","Phospholipase C 3","14","14","1","1","3513","","","","1553","1553","1553","ERR133985_02481","ERR181435_02484","ERR229952_02492","ERR234202_02483","H37Rv_02482","NC_019950_02469","SRR1019139_02480","SRR1163294_02483","SRR1173445_02479","SRR1173640_02481","SRR1175079_02482","SRR1180462_02483","SRR671749_02477","SRR998654_02480"
"group_4239","","putative oxidoreductase","14","14","1","1","1109","","","","788","791","790","ERR133985_00983","ERR181435_00984","ERR229952_00989","ERR234202_00990","H37Rv_00983","NC_019950_00962","SRR1019139_00986","SRR1163294_00982","SRR1173445_00984","SRR1173640_00985","SRR1175079_00981","SRR1180462_00986","SRR671749_00980","SRR998654_00981"
"dagK","","Diacylglycerol kinase","14","14","1","1","3624","","","","929","929","929","ERR133985_02379","ERR181435_02382","ERR229952_02390","ERR234202_02382","H37Rv_02379","NC_019950_02362","SRR1019139_02379","SRR1163294_02382","SRR1173445_02379","SRR1173640_02381","SRR1175079_02381","SRR1180462_02382","SRR671749_02376","SRR998654_02378"
"pfkA","","ATP-dependent 6-phosphofructokinase","14","14","1","1","2784","","","","1031","1031","1031","ERR133985_03157","ERR181435_03164","ERR229952_03171","ERR234202_03160","H37Rv_03160","NC_019950_03130","SRR1019139_03158","SRR1163294_03164","SRR1173445_03155","SRR1173640_03154","SRR1175079_03154","SRR1180462_03162","SRR671749_03153","SRR998654_03157"
"group_4242","","hypothetical protein","14","14","1","1","3143","","","","431","431","431","ERR133985_02838","ERR181435_02847","ERR229952_02854","ERR234202_02841","H37Rv_02841","NC_019950_02812","SRR1019139_02839","SRR1163294_02844","SRR1173445_02836","SRR1173640_02836","SRR1175079_02838","SRR1180462_02841","SRR671749_02835","SRR998654_02838"
"sigG","","ECF RNA polymerase sigma factor SigG","14","14","1","1","293","","","","998","998","998","ERR133985_00198","ERR181435_00199","ERR229952_00200","ERR234202_00199","H37Rv_00197","NC_019950_00200","SRR1019139_00202","SRR1163294_00199","SRR1173445_00200","SRR1173640_00200","SRR1175079_00199","SRR1180462_00200","SRR671749_00196","SRR998654_00198"
"group_4244","","hypothetical protein","14","14","1","1","2080","","","","1760","1760","1760","ERR133985_03817","ERR181435_03822","ERR229952_03833","ERR234202_03817","H37Rv_03819","NC_019950_03797","SRR1019139_03816","SRR1163294_03822","SRR1173445_03812","SRR1173640_03812","SRR1175079_03812","SRR1180462_03820","SRR671749_03812","SRR998654_03820"
"ctaA","","Heme A synthase","14","14","1","1","4522","","","","932","932","932","ERR133985_01542","ERR181435_01542","ERR229952_01549","ERR234202_01548","H37Rv_01541","NC_019950_01520","SRR1019139_01543","SRR1163294_01539","SRR1173445_01541","SRR1173640_01543","SRR1175079_01540","SRR1180462_01545","SRR671749_01538","SRR998654_01541"
"group_4246","","hypothetical protein","14","14","1","1","92","","","","515","515","515","ERR133985_00004","ERR181435_00004","ERR229952_00004","ERR234202_00004","H37Rv_00004","NC_019950_00007","SRR1019139_00004","SRR1163294_00004","SRR1173445_00004","SRR1173640_00004","SRR1175079_00004","SRR1180462_00004","SRR671749_00004","SRR998654_00004"
"iscS","","IscS-like cysteine desulfurase","14","14","1","1","2762","","","","1181","1181","1181","ERR133985_03174","ERR181435_03181","ERR229952_03189","ERR234202_03177","H37Rv_03177","NC_019950_03148","SRR1019139_03175","SRR1163294_03181","SRR1173445_03172","SRR1173640_03171","SRR1175079_03171","SRR1180462_03179","SRR671749_03170","SRR998654_03174"
"rihA","","Pyrimidine-specific ribonucleoside hydrolase RihA","14","14","1","1","2338","","","","926","926","926","ERR133985_03571","ERR181435_03575","ERR229952_03587","ERR234202_03571","H37Rv_03574","NC_019950_03553","SRR1019139_03573","SRR1163294_03578","SRR1173445_03569","SRR1173640_03567","SRR1175079_03567","SRR1180462_03575","SRR671749_03567","SRR998654_03573"
"otsB","","Trehalose-phosphate phosphatase","14","14","1","1","2365","","","","1175","1175","1175","ERR133985_03548","ERR181435_03553","ERR229952_03565","ERR234202_03549","H37Rv_03550","NC_019950_03536","SRR1019139_03551","SRR1163294_03556","SRR1173445_03546","SRR1173640_03544","SRR1175079_03544","SRR1180462_03553","SRR671749_03543","SRR998654_03550"
"thi4","","Thiamine thiazole synthase","14","14","1","1","4548","","","","1421","1421","1421","ERR133985_01515","ERR181435_01515","ERR229952_01522","ERR234202_01521","H37Rv_01514","NC_019950_01492","SRR1019139_01517","SRR1163294_01512","SRR1173445_01514","SRR1173640_01516","SRR1175079_01513","SRR1180462_01517","SRR671749_01511","SRR998654_01514"
"ord_1","","2,4-diaminopentanoate dehydrogenase","14","14","1","1","1108","","","","1076","1076","1076","ERR133985_00982","ERR181435_00983","ERR229952_00988","ERR234202_00989","H37Rv_00982","NC_019950_00961","SRR1019139_00985","SRR1163294_00981","SRR1173445_00983","SRR1173640_00984","SRR1175079_00980","SRR1180462_00985","SRR671749_00979","SRR998654_00980"
"suhB","","Inositol-1-monophosphatase SuhB","14","14","1","1","3140","","","","833","833","833","ERR133985_02841","ERR181435_02850","ERR229952_02857","ERR234202_02844","H37Rv_02844","NC_019950_02815","SRR1019139_02842","SRR1163294_02847","SRR1173445_02839","SRR1173640_02839","SRR1175079_02841","SRR1180462_02844","SRR671749_02838","SRR998654_02841"
"tgs1","","putative diacyglycerol O-acyltransferase tgs1","14","14","1","1","2650","","","","1391","1391","1391","ERR133985_03284","ERR181435_03292","ERR229952_03299","ERR234202_03287","H37Rv_03287","NC_019950_03261","SRR1019139_03286","SRR1163294_03292","SRR1173445_03282","SRR1173640_03281","SRR1175079_03281","SRR1180462_03290","SRR671749_03280","SRR998654_03284"
"mshA_2","","D-inositol 3-phosphate glycosyltransferase","14","14","1","1","623","","","","1433","1433","1433","ERR133985_00510","ERR181435_00510","ERR229952_00513","ERR234202_00516","H37Rv_00511","NC_019950_00505","SRR1019139_00514","SRR1163294_00511","SRR1173445_00513","SRR1173640_00510","SRR1175079_00510","SRR1180462_00513","SRR671749_00507","SRR998654_00508"
"group_4255","","putative protein","14","14","1","1","3126","","","","1025","1025","1025","ERR133985_02855","ERR181435_02864","ERR229952_02871","ERR234202_02858","H37Rv_02858","NC_019950_02829","SRR1019139_02855","SRR1163294_02861","SRR1173445_02853","SRR1173640_02853","SRR1175079_02855","SRR1180462_02858","SRR671749_02852","SRR998654_02855"
"group_4256","","hypothetical protein","14","14","1","1","1443","","","","434","434","434","ERR133985_01299","ERR181435_01301","ERR229952_01307","ERR234202_01307","H37Rv_01300","NC_019950_01277","SRR1019139_01303","SRR1163294_01298","SRR1173445_01298","SRR1173640_01302","SRR1175079_01299","SRR1180462_01303","SRR671749_01297","SRR998654_01297"
"udgB","","Type-5 uracil-DNA glycosylase","14","14","1","1","1476","","","","812","812","812","ERR133985_01331","ERR181435_01333","ERR229952_01339","ERR234202_01339","H37Rv_01332","NC_019950_01309","SRR1019139_01335","SRR1163294_01330","SRR1173445_01332","SRR1173640_01334","SRR1175079_01332","SRR1180462_01335","SRR671749_01329","SRR998654_01330"
"smc","","Chromosome partition protein Smc","14","14","1","1","2883","","","","3617","3617","3617","ERR133985_03062","ERR181435_03072","ERR229952_03079","ERR234202_03068","H37Rv_03066","NC_019950_03037","SRR1019139_03064","SRR1163294_03070","SRR1173445_03062","SRR1173640_03061","SRR1175079_03062","SRR1180462_03067","SRR671749_03059","SRR998654_03065"
"mraY","","Phospho-N-acetylmuramoyl-pentapeptide-transferase","14","14","1","1","3725","","","","1079","1079","1079","ERR133985_02278","ERR181435_02281","ERR229952_02291","ERR234202_02282","H37Rv_02277","NC_019950_02264","SRR1019139_02279","SRR1163294_02282","SRR1173445_02278","SRR1173640_02281","SRR1175079_02280","SRR1180462_02282","SRR671749_02276","SRR998654_02277"
"kasA","","3-oxoacyl-[acyl-carrier-protein] synthase 1","14","14","1","1","3631","","","","1250","1250","1250","ERR133985_02372","ERR181435_02375","ERR229952_02383","ERR234202_02375","H37Rv_02371","NC_019950_02355","SRR1019139_02372","SRR1163294_02375","SRR1173445_02372","SRR1173640_02374","SRR1175079_02374","SRR1180462_02375","SRR671749_02369","SRR998654_02371"
"grpE","","Protein GrpE","14","14","1","1","479","","","","707","707","707","ERR133985_00373","ERR181435_00373","ERR229952_00375","ERR234202_00376","H37Rv_00373","NC_019950_00371","SRR1019139_00375","SRR1163294_00374","SRR1173445_00376","SRR1173640_00373","SRR1175079_00373","SRR1180462_00375","SRR671749_00370","SRR998654_00371"
"argH","","Argininosuccinate lyase","14","14","1","1","4302","","","","1412","1412","1412","ERR133985_01752","ERR181435_01753","ERR229952_01758","ERR234202_01756","H37Rv_01751","NC_019950_01723","SRR1019139_01751","SRR1163294_01751","SRR1173445_01751","SRR1173640_01755","SRR1175079_01751","SRR1180462_01753","SRR671749_01748","SRR998654_01751"
"dnaE1","","DNA polymerase III subunit alpha","14","14","1","1","4420","","","","3554","3554","3554","ERR133985_01637","ERR181435_01638","ERR229952_01644","ERR234202_01642","H37Rv_01636","NC_019950_01616","SRR1019139_01637","SRR1163294_01635","SRR1173445_01636","SRR1173640_01639","SRR1175079_01635","SRR1180462_01640","SRR671749_01633","SRR998654_01637"
"dipZ","","Protein DipZ","14","14","1","1","2933","","","","1748","1748","1748","ERR133985_03013","ERR181435_03023","ERR229952_03030","ERR234202_03019","H37Rv_03017","NC_019950_02989","SRR1019139_03015","SRR1163294_03021","SRR1173445_03013","SRR1173640_03011","SRR1175079_03013","SRR1180462_03018","SRR671749_03010","SRR998654_03015"
"bkdC","","Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex","14","14","1","1","3358","","","","1181","1181","1181","ERR133985_02628","ERR181435_02634","ERR229952_02643","ERR234202_02630","H37Rv_02630","NC_019950_02620","SRR1019139_02628","SRR1163294_02632","SRR1173445_02626","SRR1173640_02628","SRR1175079_02629","SRR1180462_02631","SRR671749_02624","SRR998654_02627"
"ribBA_1","","Riboflavin biosynthesis protein RibBA","14","14","1","1","4566","","","","1277","1277","1277","ERR133985_01498","ERR181435_01498","ERR229952_01505","ERR234202_01504","H37Rv_01497","NC_019950_01475","SRR1019139_01500","SRR1163294_01495","SRR1173445_01497","SRR1173640_01499","SRR1175079_01496","SRR1180462_01499","SRR671749_01494","SRR998654_01497"
"dhbA","","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","14","14","1","1","928","","","","827","827","827","ERR133985_00810","ERR181435_00809","ERR229952_00813","ERR234202_00814","H37Rv_00810","NC_019950_00790","SRR1019139_00813","SRR1163294_00809","SRR1173445_00811","SRR1173640_00811","SRR1175079_00808","SRR1180462_00812","SRR671749_00806","SRR998654_00808"
"group_4268","","hypothetical protein","14","14","1","1","2222","","","","1073","1073","1073","ERR133985_03679","ERR181435_03683","ERR229952_03694","ERR234202_03677","H37Rv_03682","NC_019950_03660","SRR1019139_03679","SRR1163294_03684","SRR1173445_03675","SRR1173640_03674","SRR1175079_03674","SRR1180462_03681","SRR671749_03674","SRR998654_03680"
"mbtA","","Salicyl-AMP ligase / salicyl-S-ArCP synthetase","14","14","1","1","3477","","","","1697","1697","1697","ERR133985_02517","ERR181435_02520","ERR229952_02528","ERR234202_02519","H37Rv_02518","NC_019950_02502","SRR1019139_02516","SRR1163294_02519","SRR1173445_02515","SRR1173640_02517","SRR1175079_02518","SRR1180462_02519","SRR671749_02513","SRR998654_02516"
"group_4270","","hypothetical protein","14","14","1","1","3690","","","","1181","1181","1181","ERR133985_02312","ERR181435_02315","ERR229952_02325","ERR234202_02317","H37Rv_02311","NC_019950_02296","SRR1019139_02314","SRR1163294_02317","SRR1173445_02312","SRR1173640_02315","SRR1175079_02315","SRR1180462_02317","SRR671749_02310","SRR998654_02312"
"ppiB","","putative peptidyl-prolyl cis-trans isomerase B","14","14","1","1","3262","","","","926","926","926","ERR133985_02719","ERR181435_02727","ERR229952_02735","ERR234202_02722","H37Rv_02722","NC_019950_02711","SRR1019139_02719","SRR1163294_02724","SRR1173445_02717","SRR1173640_02717","SRR1175079_02718","SRR1180462_02722","SRR671749_02715","SRR998654_02719"
"mmpL8_2","","Sulfolipid-1 exporter MmpL8","14","14","1","1","1879","","","","3269","3269","3269","ERR133985_04018","ERR181435_04023","ERR229952_04034","ERR234202_04018","H37Rv_04020","NC_019950_03996","SRR1019139_04016","SRR1163294_04021","SRR1173445_04014","SRR1173640_04012","SRR1175079_04012","SRR1180462_04020","SRR671749_04014","SRR998654_04021"
