"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC10_reference","GPSC11_reference","GPSC13_reference","GPSC14_reference","GPSC15_reference","GPSC16_reference","GPSC17_reference","GPSC18_reference","GPSC19_reference","GPSC1_reference","GPSC21_reference","GPSC22_reference","GPSC23_reference","GPSC25_reference","GPSC26_reference","GPSC27_reference","GPSC2_reference","GPSC30_reference","GPSC31_reference","GPSC32_reference","GPSC33_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC43_reference","GPSC47_reference","GPSC4_reference","GPSC5_reference","GPSC6_reference","GPSC7_reference","GPSC8_reference","GPSC9_reference","NC_017592"
"group_199","","IS630 family transposase IS630-Spn1","19","19","1","1","3157","1","1965","","209","377","331","","","GPSC11_reference_00767","GPSC13_reference_00737","GPSC14_reference_00750","","GPSC16_reference_00719","","GPSC18_reference_00711","","","","GPSC22_reference_00735","","GPSC25_reference_00871","GPSC26_reference_00759","GPSC27_reference_00768","GPSC2_reference_00771","","","","","GPSC34_reference_00774","GPSC37_reference_00763","GPSC3_reference_00749","GPSC40_reference_00767","GPSC43_reference_00686","","","GPSC5_reference_00807","GPSC6_reference_00795","","","GPSC9_reference_00699","NC_017592_00757"
"group_237","","hypothetical protein","19","19","1","1","1048","1","1205","","254","1109","794","","GPSC10_reference_00777","","","","","","","GPSC18_reference_00792","GPSC19_reference_00892","GPSC1_reference_01256","GPSC21_reference_00849","GPSC22_reference_00808","GPSC23_reference_01376","GPSC25_reference_00946","","GPSC27_reference_00844","GPSC2_reference_00841","","GPSC31_reference_00822","GPSC32_reference_00892","GPSC33_reference_00828","GPSC34_reference_00846","","","","GPSC43_reference_00833","","GPSC4_reference_00782","GPSC5_reference_00882","","","GPSC8_reference_00891","","NC_017592_00833"
"yoeB","","Toxin YoeB","19","19","1","1","1416","7","11","","254","254","254","AP023349_01674","GPSC10_reference_01589","GPSC11_reference_01612","","GPSC14_reference_01618","GPSC15_reference_01536","","","GPSC18_reference_01582","","","GPSC21_reference_01567","GPSC22_reference_01560","GPSC23_reference_01765","","GPSC26_reference_01672","GPSC27_reference_01652","","GPSC30_reference_01661","","GPSC32_reference_01703","","","","GPSC3_reference_01666","GPSC40_reference_01618","GPSC43_reference_01527","GPSC47_reference_01713","","","GPSC6_reference_01661","GPSC7_reference_01724","","",""
"group_248","","hypothetical protein","19","19","1","1","1013","16","6","","428","716","552","","","GPSC11_reference_00865","GPSC13_reference_00837","GPSC14_reference_00846","","GPSC16_reference_00817","GPSC17_reference_00864","GPSC18_reference_00843","GPSC19_reference_00917","GPSC1_reference_01231","","GPSC22_reference_00833","GPSC23_reference_01352","","GPSC26_reference_00853","GPSC27_reference_00869","GPSC2_reference_00866","","","GPSC32_reference_00916","","","","","GPSC40_reference_00865","GPSC43_reference_00858","GPSC47_reference_00884","GPSC4_reference_00808","GPSC5_reference_00907","","","","",""
"group_411","sstT","Serine/threonine transporter SstT","19","19","1","1","1429","70","1","","443","1205","822","AP023349_01686","GPSC10_reference_01602","GPSC11_reference_01626","GPSC13_reference_01578","GPSC14_reference_01631","","GPSC16_reference_01708","GPSC17_reference_01615","GPSC18_reference_01595","","GPSC1_reference_01621","","GPSC22_reference_01573","","","","GPSC27_reference_01665","","","GPSC31_reference_01598","","GPSC33_reference_01565","","GPSC37_reference_01580","","GPSC40_reference_01631","","GPSC47_reference_01726","GPSC4_reference_01614","","GPSC6_reference_01674","","GPSC8_reference_01712","",""
"lacE_1","","PTS system lactose-specific EIICB component","19","19","1","1","4999","291","7","","182","1679","1062","","GPSC10_reference_00412","","GPSC13_reference_00439","GPSC14_reference_00459","GPSC15_reference_00444","GPSC16_reference_00426","","","GPSC19_reference_00529","GPSC1_reference_00498","","GPSC22_reference_00443","GPSC23_reference_00540","GPSC25_reference_00576","","GPSC27_reference_00456","GPSC2_reference_00477","","","","GPSC33_reference_00454","GPSC34_reference_00487","","","","GPSC43_reference_00392","GPSC47_reference_00479","GPSC4_reference_00419","GPSC5_reference_00512","GPSC6_reference_00499","","","",""
"group_531","","hypothetical protein","19","19","1","1","3847","1","2467","","713","1679","1404","","GPSC10_reference_00975","GPSC11_reference_00994","","GPSC14_reference_00955","","GPSC16_reference_00935","","GPSC18_reference_00966","GPSC19_reference_01034","GPSC1_reference_01050","GPSC21_reference_00931","","","GPSC25_reference_01085","GPSC26_reference_00973","","GPSC2_reference_00982","","","","GPSC33_reference_00969","","","GPSC3_reference_01099","GPSC40_reference_00982","","GPSC47_reference_00996","GPSC4_reference_00927","GPSC5_reference_01012","","","","GPSC9_reference_00912","NC_017592_00975"
"group_542","","hypothetical protein","19","19","1","1","2841","1","1752","","308","1538","441","","","","GPSC13_reference_00135","GPSC14_reference_00174","GPSC15_reference_00162","GPSC16_reference_00148","","","GPSC19_reference_00231","GPSC1_reference_00177","","","","","","GPSC27_reference_00132","GPSC2_reference_00194","","","GPSC32_reference_00234","GPSC33_reference_00170","GPSC34_reference_00188","","GPSC3_reference_00180","","GPSC43_reference_00104","GPSC47_reference_00167","GPSC4_reference_00135","GPSC5_reference_00214","GPSC6_reference_00214","GPSC7_reference_00241","","","NC_017592_00193"
"group_5884","","hypothetical protein","19","19","1","1","5927","1","1816","","479","479","479","","GPSC10_reference_01833","GPSC11_reference_01879","","GPSC14_reference_01884","","","","","GPSC19_reference_01898","GPSC1_reference_01911","GPSC21_reference_01825","","GPSC23_reference_02046","","GPSC26_reference_01947","","GPSC2_reference_01937","GPSC30_reference_01917","","","","GPSC34_reference_01860","","GPSC3_reference_01939","","","GPSC47_reference_01978","GPSC4_reference_01874","GPSC5_reference_01926","GPSC6_reference_01964","GPSC7_reference_01972","GPSC8_reference_02002","","NC_017592_01870"
"nanA_3","","Sialidase A","19","19","1","1","1572","1","3039","","524","3137","2799","","GPSC10_reference_01541","","GPSC13_reference_01520","","GPSC15_reference_01490","GPSC16_reference_01644","GPSC17_reference_01558","GPSC18_reference_01536","","GPSC1_reference_01562","GPSC21_reference_01519","","","","GPSC26_reference_01625","GPSC27_reference_01607","GPSC2_reference_01615","","","","","GPSC34_reference_01578","GPSC37_reference_01524","GPSC3_reference_01622","GPSC40_reference_01573","","","GPSC4_reference_01553","GPSC5_reference_01642","","GPSC7_reference_01678","GPSC8_reference_01652","",""
"group_735","","hypothetical protein","19","19","1","1","5681","5","11","","674","1127","697","","GPSC10_reference_01736","GPSC11_reference_01798","GPSC13_reference_01760","","","GPSC16_reference_01899","GPSC17_reference_01788","GPSC18_reference_01781","GPSC19_reference_01807","","GPSC21_reference_01733","","","","","GPSC27_reference_01843","","","GPSC31_reference_01767","","GPSC33_reference_01740","GPSC34_reference_01777","GPSC37_reference_01750","GPSC3_reference_01844","","","GPSC47_reference_01881","GPSC4_reference_01785","","GPSC6_reference_01856","","","GPSC9_reference_01724","NC_017592_01774"
"pepE","","Peptidase E","19","19","1","1","4624","1","2861","","284","587","522","","","","GPSC13_reference_00999","GPSC14_reference_00963","GPSC15_reference_00966","","GPSC17_reference_01001","GPSC18_reference_00998","","GPSC1_reference_01062","GPSC21_reference_00942","GPSC22_reference_00977","GPSC23_reference_01229","","GPSC26_reference_01056","","","GPSC30_reference_01049","","","","","GPSC37_reference_00985","","GPSC40_reference_01013","GPSC43_reference_00990","GPSC47_reference_01028","","GPSC5_reference_01022","GPSC6_reference_01031","","GPSC8_reference_01089","","NC_017592_01013"
"group_972","","hypothetical protein","19","19","1","1","5882","50","3","","110","899","774","","GPSC10_reference_01802","","","GPSC14_reference_01865","","GPSC16_reference_01971","GPSC17_reference_01850","GPSC18_reference_01845","GPSC19_reference_01880","","GPSC21_reference_01805","GPSC22_reference_01816","GPSC23_reference_02014","GPSC25_reference_01915","GPSC26_reference_01915","","GPSC2_reference_01905","GPSC30_reference_01898","GPSC31_reference_01836","","","","","","GPSC40_reference_01870","","","","GPSC5_reference_01899","","GPSC7_reference_01953","GPSC8_reference_01970","","NC_017592_01838"
"group_1037","","hypothetical protein","18","18","1","1","605","1","2933","","1733","3017","2921","AP023349_02012","","GPSC11_reference_02054","","","GPSC15_reference_01939","","GPSC17_reference_02023","GPSC18_reference_02082","","","GPSC21_reference_01991","GPSC22_reference_01989","GPSC23_reference_02277","GPSC25_reference_02111","GPSC26_reference_02114","","","","","","","","GPSC37_reference_01998","","","GPSC43_reference_01945","GPSC47_reference_02138","","GPSC5_reference_02122","GPSC6_reference_02124","","GPSC8_reference_02184","GPSC9_reference_01970","NC_017592_02029"
"group_1060","","hypothetical protein","18","18","1","1","4683","1","2780","","227","365","349","","GPSC10_reference_00988","GPSC11_reference_01008","GPSC13_reference_01004","","","GPSC16_reference_00949","GPSC17_reference_00994","GPSC18_reference_00980","","","","GPSC22_reference_00959","","","GPSC26_reference_01077","","GPSC2_reference_00995","GPSC30_reference_01031","","GPSC32_reference_01047","GPSC33_reference_00983","GPSC34_reference_01000","","","GPSC40_reference_00995","","GPSC47_reference_01009","GPSC4_reference_00940","","","GPSC7_reference_01129","","","NC_017592_00987"
"group_1203","","hypothetical protein","18","18","1","1","1643","1","1410","","245","341","275","","GPSC10_reference_00541","GPSC11_reference_00613","","","GPSC15_reference_00576","GPSC16_reference_00559","GPSC17_reference_00613","","","GPSC1_reference_00630","GPSC21_reference_00598","","","GPSC25_reference_00711","GPSC26_reference_00586","","","GPSC30_reference_00625","","GPSC32_reference_00653","","","GPSC37_reference_00597","GPSC3_reference_00587","","","","GPSC4_reference_00551","GPSC5_reference_00647","","","GPSC8_reference_00660","GPSC9_reference_00536","NC_017592_00603"
"group_1213","","hypothetical protein","18","18","1","1","4670","1","2788","","776","1157","952","","GPSC10_reference_00985","GPSC11_reference_01006","GPSC13_reference_01006","","","GPSC16_reference_00946","GPSC17_reference_00992","GPSC18_reference_00978","","","","GPSC22_reference_00957","","","GPSC26_reference_01079","GPSC27_reference_00999","GPSC2_reference_00993","","","GPSC32_reference_01045","","GPSC34_reference_00997","","","GPSC40_reference_00993","","GPSC47_reference_01007","GPSC4_reference_00937","","","GPSC7_reference_01127","GPSC8_reference_01081","","NC_017592_00985"
"group_138","","IS3 family transposase ISSpn11","18","32","1.78","1","3165","1","3066","","167","524","265","AP023349_00779	AP023349_01215	AP023349_01334	AP023349_02019	AP023349_01968","","GPSC11_reference_01390","GPSC13_reference_01449","GPSC14_reference_01109	GPSC14_reference_00745	GPSC14_reference_01108","GPSC15_reference_01293	GPSC15_reference_01294","","","","","GPSC1_reference_01333","GPSC21_reference_00773	GPSC21_reference_00732","","GPSC23_reference_01455	GPSC23_reference_01636","","GPSC26_reference_01441","GPSC27_reference_01411	GPSC27_reference_01532	GPSC27_reference_00762	GPSC27_reference_00761","GPSC2_reference_00766","GPSC30_reference_01630","","","","","GPSC37_reference_00758","","","GPSC43_reference_01301","GPSC47_reference_00779","","","GPSC6_reference_00354","","GPSC8_reference_01579	GPSC8_reference_01578","","NC_017592_01474	NC_017592_01473"
"group_141","","IS3 family transposase ISSpn11","18","18","1","1","3689","1","301","","212","779","310","","","","GPSC13_reference_00519","","","","GPSC17_reference_00562","GPSC18_reference_00493","","GPSC1_reference_00581","","","GPSC23_reference_00622","GPSC25_reference_00660","GPSC26_reference_00527","","GPSC2_reference_00554","GPSC30_reference_00573","","GPSC32_reference_00603","","","GPSC37_reference_00545","","GPSC40_reference_00556","GPSC43_reference_00476","","","GPSC5_reference_00596","GPSC6_reference_00584","GPSC7_reference_00650","GPSC8_reference_00608","","NC_017592_00551"
"glyE_1","","Glycosyltransferase GlyE","18","18","1","1","925","356","2","","197","500","294","","GPSC10_reference_00389","GPSC11_reference_00452","","GPSC14_reference_00423","","GPSC16_reference_00404","GPSC17_reference_00456","GPSC18_reference_00386","","","","GPSC22_reference_00413","GPSC23_reference_00503","GPSC25_reference_00554","","GPSC27_reference_00419","GPSC2_reference_00450","GPSC30_reference_00474","GPSC31_reference_00422","","","","","GPSC3_reference_00428","","GPSC43_reference_00370","","GPSC4_reference_00395","","","GPSC7_reference_00541","GPSC8_reference_00492","",""
"group_15","","hypothetical protein","18","18","1","1","1176","319","3","","287","527","300","","GPSC10_reference_00749","","","","","GPSC16_reference_00764","GPSC17_reference_00810","GPSC18_reference_00758","","","GPSC21_reference_00819","","","GPSC25_reference_00915","GPSC26_reference_00803","GPSC27_reference_00814","","","","GPSC32_reference_00859","GPSC33_reference_00798","","","GPSC3_reference_00793","GPSC40_reference_00810","","","GPSC4_reference_00758","GPSC5_reference_00852","GPSC6_reference_00839","","GPSC8_reference_00861","GPSC9_reference_00743","NC_017592_00803"
"group_1501","","hypothetical protein","18","18","1","1","868","1","1955","","221","338","331","","","GPSC11_reference_00333","","GPSC14_reference_00311","GPSC15_reference_00302","","GPSC17_reference_00283","","GPSC19_reference_00380","GPSC1_reference_00345","","GPSC22_reference_00296","GPSC23_reference_00368","","GPSC26_reference_00287","GPSC27_reference_00285","","GPSC30_reference_00356","GPSC31_reference_00289","GPSC32_reference_00376","","GPSC34_reference_00343","GPSC37_reference_00323","","","","GPSC47_reference_00320","","","","GPSC7_reference_00414","","","NC_017592_00334"
"group_1519","","hypothetical protein","18","18","1","1","1702","32","10","","182","182","182","","","","GPSC13_reference_00504","GPSC14_reference_00527","GPSC15_reference_00508","","GPSC17_reference_00548","GPSC18_reference_00478","","GPSC1_reference_00567","","GPSC22_reference_00508","GPSC23_reference_00606","GPSC25_reference_00646","","","","","","","GPSC33_reference_00514","GPSC34_reference_00555","GPSC37_reference_00531","","GPSC40_reference_00541","GPSC43_reference_00460","","","GPSC5_reference_00582","GPSC6_reference_00570","GPSC7_reference_00637","","","NC_017592_00536"
"rhaB","","L-Rhamnulokinase","18","18","1","1","612","1","2940","","1403","1403","1403","AP023349_02021","","GPSC11_reference_02061","","","GPSC15_reference_01946","","GPSC17_reference_02030","GPSC18_reference_02089","","","GPSC21_reference_01998","GPSC22_reference_01996","GPSC23_reference_02284","GPSC25_reference_02118","GPSC26_reference_02121","","","","","","","","GPSC37_reference_02005","","","GPSC43_reference_01952","GPSC47_reference_02145","","GPSC5_reference_02129","GPSC6_reference_02131","","GPSC8_reference_02191","GPSC9_reference_01977","NC_017592_02036"
"lytA_4","","hypothetical protein","18","18","1","1","557","1","919","","185","1985","1271","","","","GPSC13_reference_01994","GPSC14_reference_02021","","GPSC16_reference_02150","","GPSC18_reference_02060","GPSC19_reference_02075","GPSC1_reference_02050","","","","GPSC25_reference_02089","GPSC26_reference_02091","GPSC27_reference_02092","","","","GPSC32_reference_02079","GPSC33_reference_01972","GPSC34_reference_02010","","GPSC3_reference_02086","GPSC40_reference_02026","GPSC43_reference_01922","GPSC47_reference_02116","","GPSC5_reference_02098","","","GPSC8_reference_02161","",""
"fucA","","L-fuculose phosphate aldolase","18","18","1","1","604","1","2931","","728","728","728","AP023349_02011","","GPSC11_reference_02053","","","GPSC15_reference_01937","","GPSC17_reference_02022","GPSC18_reference_02081","","","GPSC21_reference_01990","GPSC22_reference_01988","GPSC23_reference_02276","GPSC25_reference_02110","GPSC26_reference_02113","","","","","","","","GPSC37_reference_01997","","","GPSC43_reference_01944","GPSC47_reference_02137","","GPSC5_reference_02121","GPSC6_reference_02123","","GPSC8_reference_02183","GPSC9_reference_01968","NC_017592_02028"
"group_2478","","hypothetical protein","18","18","1","1","607","1","2935","","1871","1871","1871","AP023349_02014","","GPSC11_reference_02056","","","GPSC15_reference_01941","","GPSC17_reference_02025","GPSC18_reference_02084","","","GPSC21_reference_01993","GPSC22_reference_01991","GPSC23_reference_02279","GPSC25_reference_02113","GPSC26_reference_02116","","","","","","","","GPSC37_reference_02000","","","GPSC43_reference_01947","GPSC47_reference_02140","","GPSC5_reference_02124","GPSC6_reference_02126","","GPSC8_reference_02186","GPSC9_reference_01972","NC_017592_02031"
"group_2479","","hypothetical protein","18","18","1","1","608","1","2936","","1319","1319","1319","AP023349_02015","","GPSC11_reference_02057","","","GPSC15_reference_01942","","GPSC17_reference_02026","GPSC18_reference_02085","","","GPSC21_reference_01994","GPSC22_reference_01992","GPSC23_reference_02280","GPSC25_reference_02114","GPSC26_reference_02117","","","","","","","","GPSC37_reference_02001","","","GPSC43_reference_01948","GPSC47_reference_02141","","GPSC5_reference_02125","GPSC6_reference_02127","","GPSC8_reference_02187","GPSC9_reference_01973","NC_017592_02032"
"group_2480","","hypothetical protein","18","18","1","1","611","1","2939","","1292","1292","1292","AP023349_02018","","GPSC11_reference_02060","","","GPSC15_reference_01945","","GPSC17_reference_02029","GPSC18_reference_02088","","","GPSC21_reference_01997","GPSC22_reference_01995","GPSC23_reference_02283","GPSC25_reference_02117","GPSC26_reference_02120","","","","","","","","GPSC37_reference_02004","","","GPSC43_reference_01951","GPSC47_reference_02144","","GPSC5_reference_02128","GPSC6_reference_02130","","GPSC8_reference_02190","GPSC9_reference_01976","NC_017592_02035"
"xerC_2","","Tyrosine recombinase XerC","18","18","1","1","4962","1","270","","797","797","797","","GPSC10_reference_00486","","GPSC13_reference_00463","GPSC14_reference_00484","","GPSC16_reference_00450","GPSC17_reference_00503","GPSC18_reference_00435","GPSC19_reference_00571","","","","GPSC23_reference_00564","","GPSC26_reference_00468","GPSC27_reference_00480","GPSC2_reference_00500","","","","","","GPSC37_reference_00487","GPSC3_reference_00480","GPSC40_reference_00500","","","GPSC4_reference_00515","GPSC5_reference_00535","GPSC6_reference_00526","","","","NC_017592_00496"
"group_2999","","hypothetical protein","18","18","1","1","2860","1","1715","","677","677","677","AP023349_00204","","","","GPSC14_reference_00179","","","GPSC17_reference_00151","GPSC18_reference_00128","GPSC19_reference_00237","","","GPSC22_reference_00150","","GPSC25_reference_00263","","GPSC27_reference_00138","GPSC2_reference_00201","GPSC30_reference_00206","GPSC31_reference_00149","","GPSC33_reference_00175","GPSC34_reference_00194","","GPSC3_reference_00190","GPSC40_reference_00197","GPSC43_reference_00110","","","","","GPSC7_reference_00248","","GPSC9_reference_00133",""
"group_36","","hypothetical protein","18","18","1","1","532","442","1","","146","281","201","","GPSC10_reference_01978","","","GPSC14_reference_02005","GPSC15_reference_01902","GPSC16_reference_02132","GPSC17_reference_01987","","GPSC19_reference_02060","GPSC1_reference_02035","GPSC21_reference_01950","","GPSC23_reference_02240","","GPSC26_reference_02075","GPSC27_reference_02075","GPSC2_reference_02062","GPSC30_reference_02046","GPSC31_reference_01968","GPSC32_reference_02063","GPSC33_reference_01956","","","","","","","","GPSC5_reference_02083","","","","","NC_017592_01997"
"agaA_3","","Alpha-galactosidase AgaA","18","18","1","1","606","1","2934","","2213","2222","2216","AP023349_02013","","GPSC11_reference_02055","","","GPSC15_reference_01940","","GPSC17_reference_02024","GPSC18_reference_02083","","","GPSC21_reference_01992","GPSC22_reference_01990","GPSC23_reference_02278","GPSC25_reference_02112","GPSC26_reference_02115","","","","","","","","GPSC37_reference_01999","","","GPSC43_reference_01946","GPSC47_reference_02139","","GPSC5_reference_02123","GPSC6_reference_02125","","GPSC8_reference_02185","GPSC9_reference_01971","NC_017592_02030"
"melD_2","","Melibiose/raffinose/stachyose import permease protein MelD","18","18","1","1","610","1","2938","","929","929","929","AP023349_02017","","GPSC11_reference_02059","","","GPSC15_reference_01944","","GPSC17_reference_02028","GPSC18_reference_02087","","","GPSC21_reference_01996","GPSC22_reference_01994","GPSC23_reference_02282","GPSC25_reference_02116","GPSC26_reference_02119","","","","","","","","GPSC37_reference_02003","","","GPSC43_reference_01950","GPSC47_reference_02143","","GPSC5_reference_02127","GPSC6_reference_02129","","GPSC8_reference_02189","GPSC9_reference_01975","NC_017592_02034"
"group_369","","hypothetical protein","18","18","1","1","2973","1","1359","","338","1286","1143","","GPSC10_reference_01310","GPSC11_reference_01339","GPSC13_reference_01271","","GPSC15_reference_01264","GPSC16_reference_01362","","GPSC18_reference_01273","","","GPSC21_reference_01292","","GPSC23_reference_00832","","GPSC26_reference_01389","GPSC27_reference_01357","GPSC2_reference_01372","GPSC30_reference_01371","","","GPSC33_reference_01266","","","GPSC3_reference_01392","","","","GPSC4_reference_01220","","GPSC6_reference_01329","","GPSC8_reference_01403","","NC_017592_01305"
"group_45","","hypothetical protein","18","18","1","1","5894","479","1","","203","563","333","","","","GPSC13_reference_01840","GPSC14_reference_01875","","","","GPSC18_reference_01855","","GPSC1_reference_01888","GPSC21_reference_01815","GPSC22_reference_01826","GPSC23_reference_02024","GPSC25_reference_01925","GPSC26_reference_01925","GPSC27_reference_01924","GPSC2_reference_01915","","","GPSC32_reference_01936","","GPSC34_reference_01851","GPSC37_reference_01831","","","","GPSC47_reference_01956","","","","GPSC7_reference_01963","GPSC8_reference_01980","","NC_017592_01848"
"blaSE","","hypothetical protein","18","18","1","1","3088","1","3142","","431","905","822","","GPSC10_reference_00344","","GPSC13_reference_00367","","","GPSC16_reference_00358","GPSC17_reference_00359","GPSC18_reference_00340","GPSC19_reference_00458","","","","GPSC23_reference_00452","GPSC25_reference_00509","GPSC26_reference_00375","GPSC27_reference_00372","","","GPSC31_reference_00377","","","GPSC34_reference_00419","GPSC37_reference_00391","","","","GPSC47_reference_00399","GPSC4_reference_00350","","","GPSC7_reference_00497","GPSC8_reference_00448","GPSC9_reference_00335",""
"group_50","","hypothetical protein","18","18","1","1","515","414","1","","266","545","319","","GPSC10_reference_01968","GPSC11_reference_02006","GPSC13_reference_01970","","GPSC15_reference_01892","GPSC16_reference_02122","GPSC17_reference_01977","GPSC18_reference_02036","GPSC19_reference_02051","","","","GPSC23_reference_02230","GPSC25_reference_02048","GPSC26_reference_02066","","","GPSC30_reference_02036","","GPSC32_reference_02054","","GPSC34_reference_01986","","","","","GPSC47_reference_02092","GPSC4_reference_01988","","","GPSC7_reference_02101","GPSC8_reference_02121","",""
"group_517","","hypothetical protein","18","18","1","1","5576","1","1594","","206","611","228","","GPSC10_reference_01758","GPSC11_reference_01818","","GPSC14_reference_01822","","GPSC16_reference_01919","","","GPSC19_reference_01828","GPSC1_reference_01812","GPSC21_reference_01761","","GPSC23_reference_01969","","","GPSC27_reference_01863","GPSC2_reference_01858","","","GPSC32_reference_01875","GPSC33_reference_01760","","GPSC37_reference_01778","GPSC3_reference_01863","","","","GPSC4_reference_01805","","","","GPSC8_reference_01926","GPSC9_reference_01744","NC_017592_01794"
"group_537","","hypothetical protein","18","18","1","1","2926","1","1395","","236","350","301","","GPSC10_reference_01323","GPSC11_reference_01350","GPSC13_reference_01283","","GPSC15_reference_01276","GPSC16_reference_01373","","GPSC18_reference_01285","","","","","GPSC23_reference_00820","","GPSC26_reference_01402","GPSC27_reference_01371","GPSC2_reference_01385","GPSC30_reference_01382","GPSC31_reference_01319","","GPSC33_reference_01279","","","GPSC3_reference_01403","","","","GPSC4_reference_01231","","GPSC6_reference_01342","","GPSC8_reference_01415","","NC_017592_01317"
"sugB","","Trehalose transport system permease protein SugB","18","18","1","1","609","1","2937","","839","845","839","AP023349_02016","","GPSC11_reference_02058","","","GPSC15_reference_01943","","GPSC17_reference_02027","GPSC18_reference_02086","","","GPSC21_reference_01995","GPSC22_reference_01993","GPSC23_reference_02281","GPSC25_reference_02115","GPSC26_reference_02118","","","","","","","","GPSC37_reference_02002","","","GPSC43_reference_01949","GPSC47_reference_02142","","GPSC5_reference_02126","GPSC6_reference_02128","","GPSC8_reference_02188","GPSC9_reference_01974","NC_017592_02033"
"group_640","lcnD_2","Lactococcin A secretion protein LcnD","18","18","1","1","4929","1","331","","338","1361","1216","","","","GPSC13_reference_00482","","GPSC15_reference_00488","","GPSC17_reference_00524","GPSC18_reference_00455","GPSC19_reference_00551","GPSC1_reference_00541","GPSC21_reference_00446","GPSC22_reference_00487","GPSC23_reference_00584","","","","GPSC2_reference_00522","","","","GPSC33_reference_00495","GPSC34_reference_00528","","GPSC3_reference_00499","GPSC40_reference_00520","","GPSC47_reference_00523","","GPSC5_reference_00555","","GPSC7_reference_00613","","GPSC9_reference_00448",""
"group_702","","hypothetical protein","18","18","1","1","4023","354","3","","308","647","607","","GPSC10_reference_01077","GPSC11_reference_01098","","","GPSC15_reference_01048","GPSC16_reference_01041","GPSC17_reference_01100","","GPSC19_reference_01149","","","GPSC22_reference_01067","","GPSC25_reference_01205","","GPSC27_reference_01113","","GPSC30_reference_01145","","","","GPSC34_reference_01086","","","GPSC40_reference_01101","GPSC43_reference_01068","GPSC47_reference_01134","","GPSC5_reference_01119","GPSC6_reference_01114","","","GPSC9_reference_01015","NC_017592_01091"
"group_79","","IS5 family transposase ISSpn7","18","18","1","1","582","1","897","","98","464","349","","GPSC10_reference_01996","GPSC11_reference_02035","","GPSC14_reference_02025","GPSC15_reference_01919","GPSC16_reference_02153","","","GPSC19_reference_00003","GPSC1_reference_02053","GPSC21_reference_01972","","GPSC23_reference_02259","GPSC25_reference_02093","","GPSC27_reference_02095","","GPSC30_reference_02065","","","","","","GPSC3_reference_02089","","GPSC43_reference_01926","GPSC47_reference_02119","GPSC4_reference_02013","","","GPSC7_reference_00004","GPSC8_reference_02165","",""
"group_947","","ISL3 family transposase IS1167","18","18","1","1","870","1","1788","","206","206","206","","GPSC10_reference_00001","","","GPSC14_reference_00052","","GPSC16_reference_00024","GPSC17_reference_02147","","","GPSC1_reference_00054","GPSC21_reference_02110","","GPSC23_reference_00044","","GPSC26_reference_00022","GPSC27_reference_00023","","","GPSC31_reference_00031","","GPSC33_reference_00028","GPSC34_reference_00071","GPSC37_reference_00003","","","","","GPSC4_reference_00005","","GPSC6_reference_00042","GPSC7_reference_00122","","GPSC9_reference_00015","NC_017592_00021"
"group_95","","IS3 family transposase ISSpn11","18","29","1.62","1","3095","1","3132","","185","833","520","AP023349_00780	AP023349_01214	AP023349_01335	AP023349_02020	AP023349_01969","GPSC10_reference_00346","GPSC11_reference_01389	GPSC11_reference_01388","GPSC13_reference_00369	GPSC13_reference_01448","GPSC14_reference_01107","","GPSC16_reference_00360","","GPSC18_reference_00343","GPSC19_reference_00460","","GPSC21_reference_00734	GPSC21_reference_00733","","GPSC23_reference_01635","GPSC25_reference_00511","GPSC26_reference_01440","GPSC27_reference_00374	GPSC27_reference_01410	GPSC27_reference_01531","","GPSC30_reference_01628	GPSC30_reference_01629","","","","","","","","GPSC43_reference_01300","","","","GPSC6_reference_00353","","GPSC8_reference_01576	GPSC8_reference_01577","","NC_017592_01472"
"group_103","insK","IS3 family transposase ISSpn11","17","17","1","1","1155","1","3116","","218","833","382","","","GPSC11_reference_00797","GPSC13_reference_00766","","","","","GPSC18_reference_00742","","","","GPSC22_reference_00763","GPSC23_reference_01421","GPSC25_reference_00899","GPSC26_reference_00787","GPSC27_reference_00798","GPSC2_reference_00800","","GPSC31_reference_00779","","GPSC33_reference_00782","","GPSC37_reference_00793","","GPSC40_reference_00794","","","","GPSC5_reference_00836","","GPSC7_reference_00912","","GPSC9_reference_00727","NC_017592_00786"
"group_1190","","hypothetical protein","17","17","1","1","2839","1","1747","","146","587","207","","GPSC10_reference_00134","GPSC11_reference_00161","","","","","","","GPSC19_reference_00230","","","","GPSC23_reference_00222","","","GPSC27_reference_00131","","GPSC30_reference_00200","","GPSC32_reference_00233","GPSC33_reference_00169","GPSC34_reference_00187","GPSC37_reference_00177","GPSC3_reference_00178","","GPSC43_reference_00103","","","GPSC5_reference_00213","","GPSC7_reference_00240","GPSC8_reference_00204","GPSC9_reference_00128","NC_017592_00192"
