"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR144577","ERR161044","ERR181435","ERR212146","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1172044","SRR1173640","SRR1180462","SRR671749","SRR998654"
"group_33","","putative protein","14","14","1","1","2337","","","","1448","1457","1448","ERR144577_02048","ERR161044_02061","ERR181435_02055","ERR212146_02056","ERR234202_02052","H37Rv_02049","NC_019950_02024","SRR1019139_02049","SRR1163294_02052","SRR1172044_02046","SRR1173640_02052","SRR1180462_02050","SRR671749_02046","SRR998654_02049"
"rep_1","","ATP-dependent DNA helicase Rep","14","14","1","1","4198","","","","3305","3305","3305","ERR144577_03360","ERR161044_03376","ERR181435_03371","ERR212146_03369","ERR234202_03366","H37Rv_03367","NC_019950_03338","SRR1019139_03367","SRR1163294_03373","SRR1172044_03359","SRR1173640_03361","SRR1180462_03370","SRR671749_03360","SRR998654_03364"
"group_3301","","hypothetical protein","14","14","1","1","4420","","","","785","785","785","ERR144577_03148","ERR161044_03163","ERR181435_03159","ERR212146_03157","ERR234202_03155","H37Rv_03155","NC_019950_03125","SRR1019139_03153","SRR1163294_03159","SRR1172044_03147","SRR1173640_03149","SRR1180462_03157","SRR671749_03148","SRR998654_03152"
"ligB","","DNA ligase B","14","14","1","1","4357","","","","1487","1493","1492","ERR144577_03208","ERR161044_03223","ERR181435_03219","ERR212146_03217","ERR234202_03215","H37Rv_03215","NC_019950_03200","SRR1019139_03213","SRR1163294_03219","SRR1172044_03207","SRR1173640_03209","SRR1180462_03217","SRR671749_03208","SRR998654_03212"
"pra","","Proline-rich antigen ","14","14","1","1","1381","","","","476","476","476","ERR144577_01142","ERR161044_01150","ERR181435_01145","ERR212146_01145","ERR234202_01151","H37Rv_01142","NC_019950_01122","SRR1019139_01146","SRR1163294_01142","SRR1172044_01141","SRR1173640_01145","SRR1180462_01147","SRR671749_01139","SRR998654_01140"
"pgk","","Phosphoglycerate kinase","14","14","1","1","1765","","","","1238","1238","1238","ERR144577_01517","ERR161044_01525","ERR181435_01519","ERR212146_01523","ERR234202_01525","H37Rv_01518","NC_019950_01496","SRR1019139_01521","SRR1163294_01516","SRR1172044_01517","SRR1173640_01520","SRR1180462_01521","SRR671749_01515","SRR998654_01518"
"group_3305","","hypothetical protein","14","14","1","1","4373","","","","374","374","374","ERR144577_03192","ERR161044_03207","ERR181435_03203","ERR212146_03201","ERR234202_03199","H37Rv_03199","NC_019950_03170","SRR1019139_03197","SRR1163294_03203","SRR1172044_03191","SRR1173640_03193","SRR1180462_03201","SRR671749_03192","SRR998654_03196"
"betA","","Oxygen-dependent choline dehydrogenase","14","14","1","1","966","","","","1358","1358","1358","ERR144577_00737","ERR161044_00743","ERR181435_00739","ERR212146_00742","ERR234202_00743","H37Rv_00740","NC_019950_00729","SRR1019139_00742","SRR1163294_00738","SRR1172044_00738","SRR1173640_00739","SRR1180462_00740","SRR671749_00736","SRR998654_00737"
"group_3307","","hypothetical protein","14","14","1","1","2364","","","","1244","1244","1244","ERR144577_02075","ERR161044_02088","ERR181435_02082","ERR212146_02083","ERR234202_02079","H37Rv_02076","NC_019950_02050","SRR1019139_02076","SRR1163294_02079","SRR1172044_02073","SRR1173640_02079","SRR1180462_02077","SRR671749_02073","SRR998654_02076"
"der","","GTPase Der","14","14","1","1","2070","","","","1391","1391","1391","ERR144577_01807","ERR161044_01812","ERR181435_01810","ERR212146_01812","ERR234202_01812","H37Rv_01808","NC_019950_01781","SRR1019139_01808","SRR1163294_01809","SRR1172044_01805","SRR1173640_01812","SRR1180462_01810","SRR671749_01804","SRR998654_01807"
"thrB","","Homoserine kinase","14","14","1","1","1621","","","","950","950","950","ERR144577_01372","ERR161044_01379","ERR181435_01373","ERR212146_01377","ERR234202_01379","H37Rv_01372","NC_019950_01350","SRR1019139_01375","SRR1163294_01370","SRR1172044_01370","SRR1173640_01374","SRR1180462_01375","SRR671749_01369","SRR998654_01370"
"lcfB_4","","Long-chain-fatty-acid--CoA ligase","14","14","1","1","1755","","","","1118","1607","1572","ERR144577_01508","ERR161044_01516","ERR181435_01510","ERR212146_01514","ERR234202_01516","H37Rv_01509","NC_019950_01487","SRR1019139_01512","SRR1163294_01507","SRR1172044_01508","SRR1173640_01511","SRR1180462_01511","SRR671749_01506","SRR998654_01509"
"group_3310","","hypothetical protein","14","14","1","1","1741","","","","515","515","515","ERR144577_01494","ERR161044_01502","ERR181435_01496","ERR212146_01500","ERR234202_01502","H37Rv_01495","NC_019950_01473","SRR1019139_01498","SRR1163294_01493","SRR1172044_01494","SRR1173640_01497","SRR1180462_01497","SRR671749_01492","SRR998654_01495"
"sseA","","Putative thiosulfate sulfurtransferase SseA","14","14","1","1","4104","","","","965","965","965","ERR144577_03448","ERR161044_03464","ERR181435_03458","ERR212146_03459","ERR234202_03454","H37Rv_03456","NC_019950_03435","SRR1019139_03456","SRR1163294_03462","SRR1172044_03448","SRR1173640_03449","SRR1180462_03459","SRR671749_03449","SRR998654_03453"
"group_3312","","hypothetical protein","14","14","1","1","3651","","","","1076","1076","1076","ERR144577_03869","ERR161044_03886","ERR181435_03880","ERR212146_03879","ERR234202_03875","H37Rv_03877","NC_019950_03854","SRR1019139_03875","SRR1163294_03880","SRR1172044_03869","SRR1173640_03870","SRR1180462_03878","SRR671749_03870","SRR998654_03878"
"echA8_1","","putative enoyl-CoA hydratase echA8","14","14","1","1","1373","","","","773","773","773","ERR144577_01134","ERR161044_01142","ERR181435_01137","ERR212146_01137","ERR234202_01142","H37Rv_01134","NC_019950_01114","SRR1019139_01138","SRR1163294_01134","SRR1172044_01133","SRR1173640_01137","SRR1180462_01139","SRR671749_01131","SRR998654_01132"
"group_3314","","PE-PGRS family protein PE_PGRS16","14","14","1","1","1534","","","","332","332","332","ERR144577_01286","ERR161044_01293","ERR181435_01288","ERR212146_01290","ERR234202_01294","H37Rv_01287","NC_019950_01264","SRR1019139_01290","SRR1163294_01285","SRR1172044_01285","SRR1173640_01289","SRR1180462_01290","SRR671749_01284","SRR998654_01284"
"drrA_2","","Doxorubicin resistance ATP-binding protein DrrA","14","14","1","1","4497","","","","995","995","995","ERR144577_03074","ERR161044_03091","ERR181435_03086","ERR212146_03083","ERR234202_03082","H37Rv_03080","NC_019950_03051","SRR1019139_03078","SRR1163294_03084","SRR1172044_03071","SRR1173640_03075","SRR1180462_03081","SRR671749_03073","SRR998654_03079"
"group_3316","","hypothetical protein","14","14","1","1","3514","","","","782","785","784","ERR144577_04002","ERR161044_04021","ERR181435_04014","ERR212146_04011","ERR234202_04009","H37Rv_04011","NC_019950_03987","SRR1019139_04007","SRR1163294_04012","SRR1172044_04003","SRR1173640_04003","SRR1180462_04011","SRR671749_04005","SRR998654_04012"
"group_3317","","hypothetical protein","14","14","1","1","630","","","","380","380","380","ERR144577_00410","ERR161044_00411","ERR181435_00411","ERR212146_00415","ERR234202_00415","H37Rv_00412","NC_019950_00409","SRR1019139_00414","SRR1163294_00411","SRR1172044_00409","SRR1173640_00411","SRR1180462_00413","SRR671749_00408","SRR998654_00409"
"group_3318","","hypothetical protein","14","14","1","1","2999","","","","2843","2843","2843","ERR144577_02666","ERR161044_02681","ERR181435_02673","ERR212146_02672","ERR234202_02669","H37Rv_02669","NC_019950_02660","SRR1019139_02667","SRR1163294_02672","SRR1172044_02662","SRR1173640_02666","SRR1180462_02670","SRR671749_02663","SRR998654_02666"
"asnC","","Regulatory protein AsnC","14","14","1","1","2774","","","","446","446","446","ERR144577_02455","ERR161044_02464","ERR181435_02456","ERR212146_02458","ERR234202_02457","H37Rv_02455","NC_019950_02443","SRR1019139_02454","SRR1163294_02457","SRR1172044_02450","SRR1173640_02455","SRR1180462_02457","SRR671749_02451","SRR998654_02453"
"group_3320","","hypothetical protein","14","14","1","1","4516","","","","1808","1808","1808","ERR144577_03055","ERR161044_03072","ERR181435_03067","ERR212146_03064","ERR234202_03063","H37Rv_03061","NC_019950_03032","SRR1019139_03059","SRR1163294_03065","SRR1172044_03052","SRR1173640_03055","SRR1180462_03062","SRR671749_03054","SRR998654_03060"
"group_3321","","putative protein","14","14","1","1","2663","","","","1541","1541","1541","ERR144577_02353","ERR161044_02360","ERR181435_02355","ERR212146_02356","ERR234202_02355","H37Rv_02350","NC_019950_02335","SRR1019139_02352","SRR1163294_02355","SRR1172044_02347","SRR1173640_02353","SRR1180462_02355","SRR671749_02348","SRR998654_02351"
"group_3322","","hypothetical protein","14","14","1","1","1512","","","","1265","1265","1265","ERR144577_01265","ERR161044_01273","ERR181435_01267","ERR212146_01269","ERR234202_01273","H37Rv_01266","NC_019950_01243","SRR1019139_01269","SRR1163294_01264","SRR1172044_01264","SRR1173640_01268","SRR1180462_01269","SRR671749_01262","SRR998654_01263"
"group_3323","","PE-PGRS family protein PE_PGRS11","14","14","1","1","1025","","","","1751","1754","1753","ERR144577_00794","ERR161044_00801","ERR181435_00796","ERR212146_00799","ERR234202_00801","H37Rv_00797","NC_019950_00778","SRR1019139_00800","SRR1163294_00796","SRR1172044_00795","SRR1173640_00798","SRR1180462_00798","SRR671749_00793","SRR998654_00795"
"group_3324","","Putative antitoxin VapB45","14","14","1","1","2427","","","","719","719","719","ERR144577_02134","ERR161044_02145","ERR181435_02140","ERR212146_02141","ERR234202_02137","H37Rv_02133","NC_019950_02112","SRR1019139_02134","SRR1163294_02138","SRR1172044_02130","SRR1173640_02137","SRR1180462_02136","SRR671749_02131","SRR998654_02133"
"group_3325","","hypothetical protein","14","14","1","1","322","","","","2057","2057","2057","ERR144577_00124","ERR161044_00122","ERR181435_00125","ERR212146_00125","ERR234202_00124","H37Rv_00123","NC_019950_00127","SRR1019139_00126","SRR1163294_00124","SRR1172044_00122","SRR1173640_00125","SRR1180462_00124","SRR671749_00122","SRR998654_00123"
"group_3326","","putative lipoprotein","14","14","1","1","3058","","","","1673","1673","1673","ERR144577_02720","ERR161044_02736","ERR181435_02730","ERR212146_02727","ERR234202_02725","H37Rv_02725","NC_019950_02714","SRR1019139_02722","SRR1163294_02727","SRR1172044_02717","SRR1173640_02720","SRR1180462_02725","SRR671749_02718","SRR998654_02722"
"trmH","","tRNA (guanosine(18)-2'-O)-methyltransferase","14","14","1","1","620","","","","650","650","650","ERR144577_00401","ERR161044_00402","ERR181435_00402","ERR212146_00406","ERR234202_00405","H37Rv_00402","NC_019950_00400","SRR1019139_00404","SRR1163294_00402","SRR1172044_00400","SRR1173640_00402","SRR1180462_00403","SRR671749_00399","SRR998654_00399"
"group_3328","","hypothetical protein","14","14","1","1","1293","","","","758","758","758","ERR144577_01054","ERR161044_01064","ERR181435_01058","ERR212146_01059","ERR234202_01063","H37Rv_01056","NC_019950_01043","SRR1019139_01059","SRR1163294_01055","SRR1172044_01055","SRR1173640_01058","SRR1180462_01060","SRR671749_01053","SRR998654_01054"
"group_3329","","hypothetical protein","14","14","1","1","2706","","","","953","953","953","ERR144577_02391","ERR161044_02397","ERR181435_02392","ERR212146_02394","ERR234202_02393","H37Rv_02390","NC_019950_02376","SRR1019139_02389","SRR1163294_02392","SRR1172044_02385","SRR1173640_02391","SRR1180462_02392","SRR671749_02386","SRR998654_02388"
"zwf2","","Glucose-6-phosphate 1-dehydrogenase 2","14","14","1","1","1779","","","","1028","1544","1507","ERR144577_01531","ERR161044_01538","ERR181435_01533","ERR212146_01537","ERR234202_01539","H37Rv_01532","NC_019950_01510","SRR1019139_01534","SRR1163294_01530","SRR1172044_01530","SRR1173640_01534","SRR1180462_01535","SRR671749_01529","SRR998654_01532"
"group_3330","","hypothetical protein","14","14","1","1","4118","","","","668","668","668","ERR144577_03436","ERR161044_03452","ERR181435_03446","ERR212146_03447","ERR234202_03442","H37Rv_03444","NC_019950_03423","SRR1019139_03444","SRR1163294_03450","SRR1172044_03436","SRR1173640_03437","SRR1180462_03447","SRR671749_03437","SRR998654_03441"
"adhD","","Putative alcohol dehydrogenase D","14","14","1","1","4328","","","","1106","1106","1106","ERR144577_03233","ERR161044_03248","ERR181435_03245","ERR212146_03242","ERR234202_03240","H37Rv_03240","NC_019950_03228","SRR1019139_03239","SRR1163294_03245","SRR1172044_03232","SRR1173640_03234","SRR1180462_03243","SRR671749_03233","SRR998654_03237"
"pfkB","","Putative ATP-dependent 6-phosphofructokinase isozyme 2","14","14","1","1","2440","","","","1019","1019","1019","ERR144577_02146","ERR161044_02156","ERR181435_02151","ERR212146_02152","ERR234202_02148","H37Rv_02144","NC_019950_02123","SRR1019139_02145","SRR1163294_02149","SRR1172044_02141","SRR1173640_02149","SRR1180462_02147","SRR671749_02142","SRR998654_02144"
"mazF6","","Endoribonuclease MazF6","14","14","1","1","2395","","","","344","344","344","ERR144577_02103","ERR161044_02116","ERR181435_02110","ERR212146_02111","ERR234202_02107","H37Rv_02104","NC_019950_02081","SRR1019139_02105","SRR1163294_02108","SRR1172044_02101","SRR1173640_02107","SRR1180462_02106","SRR671749_02102","SRR998654_02104"
"group_3334","","putative protein","14","14","1","1","1941","","","","665","665","665","ERR144577_01680","ERR161044_01685","ERR181435_01682","ERR212146_01685","ERR234202_01685","H37Rv_01680","NC_019950_01652","SRR1019139_01680","SRR1163294_01678","SRR1172044_01678","SRR1173640_01684","SRR1180462_01683","SRR671749_01677","SRR998654_01680"
"group_3335","","hypothetical protein","14","14","1","1","386","","","","1364","1364","1364","ERR144577_00186","ERR161044_00184","ERR181435_00186","ERR212146_00187","ERR234202_00186","H37Rv_00184","NC_019950_00187","SRR1019139_00189","SRR1163294_00186","SRR1172044_00183","SRR1173640_00187","SRR1180462_00187","SRR671749_00183","SRR998654_00185"
"group_3336","","putative HTH-type transcriptional regulator","14","14","1","1","1484","","","","605","605","605","ERR144577_01238","ERR161044_01245","ERR181435_01240","ERR212146_01242","ERR234202_01246","H37Rv_01238","NC_019950_01216","SRR1019139_01242","SRR1163294_01237","SRR1172044_01237","SRR1173640_01241","SRR1180462_01242","SRR671749_01235","SRR998654_01236"
"group_3337","","putative PPE family protein PPE29","14","14","1","1","2185","","","","1211","1211","1211","ERR144577_01907","ERR161044_01914","ERR181435_01913","ERR212146_01913","ERR234202_01911","H37Rv_01907","NC_019950_01887","SRR1019139_01908","SRR1163294_01908","SRR1172044_01904","SRR1173640_01911","SRR1180462_01909","SRR671749_01904","SRR998654_01908"
"group_3338","","hypothetical protein","14","14","1","1","4419","","","","1274","1274","1274","ERR144577_03149","ERR161044_03164","ERR181435_03160","ERR212146_03158","ERR234202_03156","H37Rv_03156","NC_019950_03126","SRR1019139_03154","SRR1163294_03160","SRR1172044_03148","SRR1173640_03150","SRR1180462_03158","SRR671749_03149","SRR998654_03153"
"group_3339","","hypothetical protein","14","14","1","1","3860","","","","728","728","728","ERR144577_03669","ERR161044_03686","ERR181435_03679","ERR212146_03678","ERR234202_03673","H37Rv_03678","NC_019950_03656","SRR1019139_03675","SRR1163294_03680","SRR1172044_03670","SRR1173640_03670","SRR1180462_03677","SRR671749_03670","SRR998654_03676"
"group_3340","","hypothetical protein","14","14","1","1","840","","","","2633","2633","2633","ERR144577_00615","ERR161044_00620","ERR181435_00617","ERR212146_00620","ERR234202_00622","H37Rv_00617","NC_019950_00612","SRR1019139_00620","SRR1163294_00617","SRR1172044_00614","SRR1173640_00615","SRR1180462_00619","SRR671749_00613","SRR998654_00614"
"group_3341","","Acyl-CoA dehydrogenase FadE34","14","14","1","1","4358","","","","2165","2165","2165","ERR144577_03207","ERR161044_03222","ERR181435_03218","ERR212146_03216","ERR234202_03214","H37Rv_03214","NC_019950_03199","SRR1019139_03212","SRR1163294_03218","SRR1172044_03206","SRR1173640_03208","SRR1180462_03216","SRR671749_03207","SRR998654_03211"
"amhM","","Ammonium/H(+) antiporter subunit AmhM","14","14","1","1","4154","","","","482","482","482","ERR144577_03401","ERR161044_03417","ERR181435_03411","ERR212146_03410","ERR234202_03407","H37Rv_03409","NC_019950_03380","SRR1019139_03409","SRR1163294_03415","SRR1172044_03401","SRR1173640_03402","SRR1180462_03412","SRR671749_03402","SRR998654_03406"
"ftsZ","","Cell division protein FtsZ","14","14","1","1","2583","","","","1139","1139","1139","ERR144577_02273","ERR161044_02282","ERR181435_02275","ERR212146_02278","ERR234202_02276","H37Rv_02271","NC_019950_02258","SRR1019139_02273","SRR1163294_02276","SRR1172044_02268","SRR1173640_02275","SRR1180462_02276","SRR671749_02270","SRR998654_02271"
"group_3344","","hypothetical protein","14","14","1","1","2205","","","","878","878","878","ERR144577_01925","ERR161044_01933","ERR181435_01931","ERR212146_01931","ERR234202_01929","H37Rv_01925","NC_019950_01904","SRR1019139_01926","SRR1163294_01927","SRR1172044_01922","SRR1173640_01929","SRR1180462_01927","SRR671749_01922","SRR998654_01926"
"lprN_3","","Lipoprotein LprN","14","14","1","1","2366","","","","1133","1133","1133","ERR144577_02077","ERR161044_02090","ERR181435_02084","ERR212146_02085","ERR234202_02081","H37Rv_02078","NC_019950_02052","SRR1019139_02078","SRR1163294_02081","SRR1172044_02075","SRR1173640_02081","SRR1180462_02079","SRR671749_02075","SRR998654_02078"
"cobN","","Aerobic cobaltochelatase subunit CobN","14","14","1","1","2473","","","","3584","3584","3584","ERR144577_02179","ERR161044_02189","ERR181435_02184","ERR212146_02184","ERR234202_02181","H37Rv_02177","NC_019950_02155","SRR1019139_02178","SRR1163294_02181","SRR1172044_02174","SRR1173640_02181","SRR1180462_02180","SRR671749_02175","SRR998654_02177"
"fadA4","","putative acetyl-CoA acetyltransferase","14","14","1","1","1648","","","","1130","1130","1130","ERR144577_01402","ERR161044_01409","ERR181435_01403","ERR212146_01407","ERR234202_01409","H37Rv_01402","NC_019950_01382","SRR1019139_01405","SRR1163294_01400","SRR1172044_01400","SRR1173640_01404","SRR1180462_01405","SRR671749_01399","SRR998654_01400"
"nuoE","","NADH-quinone oxidoreductase subunit E","14","14","1","1","4260","","","","758","758","758","ERR144577_03300","ERR161044_03316","ERR181435_03312","ERR212146_03309","ERR234202_03307","H37Rv_03307","NC_019950_03281","SRR1019139_03306","SRR1163294_03312","SRR1172044_03299","SRR1173640_03301","SRR1180462_03310","SRR671749_03300","SRR998654_03304"
"group_3349","","putative NTE family protein","14","14","1","1","1364","","","","1082","1082","1082","ERR144577_01126","ERR161044_01134","ERR181435_01129","ERR212146_01129","ERR234202_01134","H37Rv_01126","NC_019950_01105","SRR1019139_01130","SRR1163294_01126","SRR1172044_01125","SRR1173640_01129","SRR1180462_01131","SRR671749_01123","SRR998654_01124"
"group_3350","","Universal stress protein","14","14","1","1","3100","","","","794","794","794","ERR144577_02760","ERR161044_02776","ERR181435_02770","ERR212146_02767","ERR234202_02765","H37Rv_02765","NC_019950_02754","SRR1019139_02763","SRR1163294_02768","SRR1172044_02757","SRR1173640_02760","SRR1180462_02765","SRR671749_02758","SRR998654_02762"
"asnB","","Putative asparagine synthetase [glutamine-hydrolyzing]","14","14","1","1","2636","","","","1958","1958","1958","ERR144577_02326","ERR161044_02334","ERR181435_02327","ERR212146_02330","ERR234202_02329","H37Rv_02323","NC_019950_02309","SRR1019139_02326","SRR1163294_02329","SRR1172044_02320","SRR1173640_02327","SRR1180462_02329","SRR671749_02322","SRR998654_02324"
"eccE5","","ESX-5 secretion system protein EccE5","14","14","1","1","2176","","","","1220","1220","1220","ERR144577_01898","ERR161044_01904","ERR181435_01904","ERR212146_01904","ERR234202_01902","H37Rv_01898","NC_019950_01880","SRR1019139_01899","SRR1163294_01899","SRR1172044_01895","SRR1173640_01902","SRR1180462_01900","SRR671749_01895","SRR998654_01898"
"tgs1","","putative diacyglycerol O-acyltransferase tgs1","14","14","1","1","4280","","","","1391","1391","1391","ERR144577_03280","ERR161044_03296","ERR181435_03292","ERR212146_03289","ERR234202_03287","H37Rv_03287","NC_019950_03261","SRR1019139_03286","SRR1163294_03292","SRR1172044_03279","SRR1173640_03281","SRR1180462_03290","SRR671749_03280","SRR998654_03284"
"ligD_2","","Multifunctional non-homologous end joining protein LigD","14","14","1","1","3609","","","","1040","1040","1040","ERR144577_03911","ERR161044_03928","ERR181435_03922","ERR212146_03921","ERR234202_03918","H37Rv_03920","NC_019950_03895","SRR1019139_03917","SRR1163294_03922","SRR1172044_03912","SRR1173640_03912","SRR1180462_03920","SRR671749_03913","SRR998654_03921"
"rdmC","","Aclacinomycin methylesterase RdmC","14","14","1","1","909","","","","905","905","905","ERR144577_00684","ERR161044_00689","ERR181435_00686","ERR212146_00689","ERR234202_00690","H37Rv_00687","NC_019950_00674","SRR1019139_00688","SRR1163294_00685","SRR1172044_00684","SRR1173640_00684","SRR1180462_00687","SRR671749_00683","SRR998654_00683"
"proS","","Proline--tRNA ligase","14","14","1","1","4593","","","","1880","1880","1880","ERR144577_02980","ERR161044_02997","ERR181435_02992","ERR212146_02989","ERR234202_02987","H37Rv_02986","NC_019950_02957","SRR1019139_02984","SRR1163294_02990","SRR1172044_02977","SRR1173640_02980","SRR1180462_02987","SRR671749_02979","SRR998654_02983"
"betI_1","","HTH-type transcriptional regulator BetI","14","14","1","1","562","","","","602","602","602","ERR144577_00349","ERR161044_00351","ERR181435_00349","ERR212146_00353","ERR234202_00351","H37Rv_00349","NC_019950_00347","SRR1019139_00351","SRR1163294_00349","SRR1172044_00347","SRR1173640_00350","SRR1180462_00351","SRR671749_00347","SRR998654_00347"
"caiA_4","","Crotonobetainyl-CoA reductase","14","14","1","1","3786","","","","953","953","953","ERR144577_03742","ERR161044_03759","ERR181435_03752","ERR212146_03750","ERR234202_03747","H37Rv_03750","NC_019950_03728","SRR1019139_03747","SRR1163294_03752","SRR1172044_03742","SRR1173640_03743","SRR1180462_03750","SRR671749_03743","SRR998654_03750"
"pbpB","","Penicillin-binding protein PbpB","14","14","1","1","2596","","","","1820","1820","1820","ERR144577_02286","ERR161044_02295","ERR181435_02288","ERR212146_02291","ERR234202_02289","H37Rv_02284","NC_019950_02271","SRR1019139_02286","SRR1163294_02289","SRR1172044_02281","SRR1173640_02288","SRR1180462_02289","SRR671749_02283","SRR998654_02284"
"paaG_1","","1,2-epoxyphenylacetyl-CoA isomerase","14","14","1","1","1451","","","","806","806","806","ERR144577_01209","ERR161044_01216","ERR181435_01211","ERR212146_01213","ERR234202_01217","H37Rv_01208","NC_019950_01186","SRR1019139_01212","SRR1163294_01208","SRR1172044_01207","SRR1173640_01212","SRR1180462_01213","SRR671749_01205","SRR998654_01207"
"rmlD","","dTDP-4-dehydrorhamnose reductase","14","14","1","1","4123","","","","914","914","914","ERR144577_03431","ERR161044_03447","ERR181435_03441","ERR212146_03442","ERR234202_03437","H37Rv_03439","NC_019950_03414","SRR1019139_03439","SRR1163294_03445","SRR1172044_03431","SRR1173640_03432","SRR1180462_03442","SRR671749_03432","SRR998654_03436"
"group_3362","","putative protein","14","14","1","1","1705","","","","680","680","680","ERR144577_01458","ERR161044_01466","ERR181435_01460","ERR212146_01464","ERR234202_01466","H37Rv_01459","NC_019950_01437","SRR1019139_01462","SRR1163294_01457","SRR1172044_01458","SRR1173640_01461","SRR1180462_01461","SRR671749_01456","SRR998654_01458"
"group_3363","","hypothetical protein","14","14","1","1","2744","","","","923","923","923","ERR144577_02427","ERR161044_02436","ERR181435_02428","ERR212146_02430","ERR234202_02429","H37Rv_02427","NC_019950_02414","SRR1019139_02425","SRR1163294_02428","SRR1172044_02422","SRR1173640_02427","SRR1180462_02428","SRR671749_02423","SRR998654_02425"
"tatB","","Sec-independent protein translocase protein TatB","14","14","1","1","1544","","","","395","395","395","ERR144577_01296","ERR161044_01303","ERR181435_01298","ERR212146_01300","ERR234202_01304","H37Rv_01297","NC_019950_01274","SRR1019139_01300","SRR1163294_01295","SRR1172044_01295","SRR1173640_01299","SRR1180462_01300","SRR671749_01294","SRR998654_01294"
"trpG","","Anthranilate synthase component 2","14","14","1","1","212","","","","698","698","698","ERR144577_00018","ERR161044_00018","ERR181435_00018","ERR212146_00019","ERR234202_00018","H37Rv_00019","NC_019950_00020","SRR1019139_00019","SRR1163294_00017","SRR1172044_00019","SRR1173640_00018","SRR1180462_00018","SRR671749_00018","SRR998654_00018"
"lipB","","Octanoyltransferase","14","14","1","1","2653","","","","692","692","692","ERR144577_02343","ERR161044_02350","ERR181435_02345","ERR212146_02346","ERR234202_02345","H37Rv_02340","NC_019950_02325","SRR1019139_02342","SRR1163294_02345","SRR1172044_02337","SRR1173640_02343","SRR1180462_02345","SRR671749_02338","SRR998654_02341"
"mviN","","putative peptidoglycan biosynthesis protein MviN","14","14","1","1","3403","","","","3548","3554","3553","ERR144577_04105","ERR161044_04124","ERR181435_04120","ERR212146_04113","ERR234202_04114","H37Rv_04115","NC_019950_04091","SRR1019139_04109","SRR1163294_04114","SRR1172044_04107","SRR1173640_04106","SRR1180462_04114","SRR671749_04110","SRR998654_04115"
"group_3368","","hypothetical protein","14","14","1","1","2753","","","","716","716","716","ERR144577_02434","ERR161044_02443","ERR181435_02435","ERR212146_02437","ERR234202_02436","H37Rv_02434","NC_019950_02421","SRR1019139_02432","SRR1163294_02435","SRR1172044_02429","SRR1173640_02434","SRR1180462_02435","SRR671749_02430","SRR998654_02432"
"group_3369","","Putative trans-acting enoyl reductase","14","14","1","1","2910","","","","1259","1259","1259","ERR144577_02583","ERR161044_02592","ERR181435_02587","ERR212146_02587","ERR234202_02585","H37Rv_02585","NC_019950_02575","SRR1019139_02582","SRR1163294_02586","SRR1172044_02578","SRR1173640_02583","SRR1180462_02585","SRR671749_02579","SRR998654_02582"
"group_337","","putative protein","14","14","1","1","1821","","","","914","1145","1128","ERR144577_01573","ERR161044_01581","ERR181435_01575","ERR212146_01579","ERR234202_01581","H37Rv_01574","NC_019950_01553","SRR1019139_01576","SRR1163294_01572","SRR1172044_01572","SRR1173640_01576","SRR1180462_01578","SRR671749_01571","SRR998654_01574"
"group_3370","","putative HTH-type transcriptional regulator","14","14","1","1","617","","","","965","965","965","ERR144577_00398","ERR161044_00399","ERR181435_00399","ERR212146_00403","ERR234202_00402","H37Rv_00399","NC_019950_00396","SRR1019139_00401","SRR1163294_00399","SRR1172044_00397","SRR1173640_00399","SRR1180462_00400","SRR671749_00396","SRR998654_00396"
"glnE","","Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme","14","14","1","1","2658","","","","2984","2984","2984","ERR144577_02348","ERR161044_02355","ERR181435_02350","ERR212146_02351","ERR234202_02350","H37Rv_02345","NC_019950_02330","SRR1019139_02347","SRR1163294_02350","SRR1172044_02342","SRR1173640_02348","SRR1180462_02350","SRR671749_02343","SRR998654_02346"
"sdhA_2","","Succinate dehydrogenase flavoprotein subunit","14","14","1","1","4067","","","","1748","1748","1748","ERR144577_03485","ERR161044_03501","ERR181435_03495","ERR212146_03496","ERR234202_03491","H37Rv_03493","NC_019950_03473","SRR1019139_03493","SRR1163294_03499","SRR1172044_03485","SRR1173640_03486","SRR1180462_03496","SRR671749_03486","SRR998654_03490"
"group_3373","","hypothetical protein","14","14","1","1","1091","","","","680","680","680","ERR144577_00856","ERR161044_00866","ERR181435_00859","ERR212146_00862","ERR234202_00864","H37Rv_00860","NC_019950_00838","SRR1019139_00862","SRR1163294_00858","SRR1172044_00858","SRR1173640_00860","SRR1180462_00861","SRR671749_00856","SRR998654_00858"
"rbn_2","","Ribonuclease BN","14","14","1","1","3534","","","","1127","1127","1127","ERR144577_03983","ERR161044_04002","ERR181435_03994","ERR212146_03992","ERR234202_03990","H37Rv_03992","NC_019950_03969","SRR1019139_03988","SRR1163294_03993","SRR1172044_03984","SRR1173640_03984","SRR1180462_03991","SRR671749_03986","SRR998654_03993"
