"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC15_reference","GPSC21_reference","GPSC22_reference","GPSC26_reference","GPSC31_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC4_reference","GPSC8_reference","NC_017592"
"licT_2","","Transcription antiterminator LicT","12","12","1","1","3483","55","2","","836","836","836","AP023349_01065","GPSC15_reference_01062","","GPSC22_reference_01082","","GPSC31_reference_01087","GPSC32_reference_01211","GPSC34_reference_01100","GPSC37_reference_01084","GPSC3_reference_01158","GPSC40_reference_01115","GPSC4_reference_01009","GPSC8_reference_01182","NC_017592_01105"
"group_1690","","hypothetical protein","12","12","1","1","2868","215","1","","170","170","170","AP023349_01608","GPSC15_reference_01374","GPSC21_reference_01419","","GPSC26_reference_01525","GPSC31_reference_01439","GPSC32_reference_01561","GPSC34_reference_01476","","GPSC3_reference_01519","GPSC40_reference_01467","GPSC4_reference_01450","GPSC8_reference_01535","NC_017592_01432"
"catE","","Catechol-2,3-dioxygenase","12","12","1","1","3329","321","16","","854","854","854","","GPSC15_reference_00095","GPSC21_reference_00036","GPSC22_reference_00077","GPSC26_reference_00068","GPSC31_reference_00076","GPSC32_reference_00165","GPSC34_reference_00123","GPSC37_reference_00106","","GPSC40_reference_00116","GPSC4_reference_00072","GPSC8_reference_00129","NC_017592_00115"
"bsaA","","Glutathione peroxidase BsaA","12","12","1","1","779","1","1539","","476","476","476","","GPSC15_reference_00314","GPSC21_reference_00264","GPSC22_reference_00307","GPSC26_reference_00300","GPSC31_reference_00300","GPSC32_reference_00387","GPSC34_reference_00354","","GPSC3_reference_00324","GPSC40_reference_00333","GPSC4_reference_00277","GPSC8_reference_00369","NC_017592_00345"
"group_1834","","hypothetical protein","12","12","1","1","792","1","1525","","1901","1901","1901","","GPSC15_reference_00327","GPSC21_reference_00277","GPSC22_reference_00320","GPSC26_reference_00313","GPSC31_reference_00313","GPSC32_reference_00400","GPSC34_reference_00368","","GPSC3_reference_00337","GPSC40_reference_00346","GPSC4_reference_00290","GPSC8_reference_00382","NC_017592_00360"
"group_1846","","hypothetical protein","12","12","1","1","4230","1","440","","383","398","384","","GPSC15_reference_00495","","GPSC22_reference_00495","GPSC26_reference_00501","GPSC31_reference_00511","GPSC32_reference_00576","GPSC34_reference_00542","GPSC37_reference_00518","GPSC3_reference_00506","GPSC40_reference_00528","GPSC4_reference_00488","GPSC8_reference_00574","NC_017592_00523"
"group_1869","","hypothetical protein","12","12","1","1","3404","402","2","","110","110","110","","GPSC15_reference_00842","GPSC21_reference_00868","GPSC22_reference_00827","GPSC26_reference_00847","GPSC31_reference_00843","GPSC32_reference_00910","GPSC34_reference_00864","GPSC37_reference_00856","GPSC3_reference_00897","GPSC40_reference_00859","GPSC4_reference_00802","GPSC8_reference_00910",""
"proC","","Pyrroline-5-carboxylate reductase","12","12","1","1","4621","478","1","","797","797","797","","GPSC15_reference_00861","GPSC21_reference_00887","GPSC22_reference_00848","GPSC26_reference_00868","GPSC31_reference_00863","GPSC32_reference_00931","GPSC34_reference_00885","GPSC37_reference_00876","GPSC3_reference_00920","","GPSC4_reference_00823","GPSC8_reference_00931","NC_017592_00875"
"group_1889","","hypothetical protein","12","12","1","1","1158","341","6","","95","95","95","","GPSC15_reference_01082","GPSC21_reference_01080","GPSC22_reference_01103","GPSC26_reference_01198","","GPSC32_reference_01230","GPSC34_reference_01121","GPSC37_reference_01103","GPSC3_reference_01178","GPSC40_reference_01134","GPSC4_reference_01031","GPSC8_reference_01203","NC_017592_01125"
"group_1893","","hypothetical protein","12","12","1","1","4403","1","1128","","527","563","557","","GPSC15_reference_01106","GPSC21_reference_01105","GPSC22_reference_01127","GPSC26_reference_01224","GPSC31_reference_01131","GPSC32_reference_01254","GPSC34_reference_01145","","GPSC3_reference_01204","GPSC40_reference_01158","GPSC4_reference_01056","GPSC8_reference_01241","NC_017592_01149"
"group_1911","","hypothetical protein","12","12","1","1","1824","366","1","","188","278","195","","GPSC15_reference_01454","GPSC21_reference_01485","","GPSC26_reference_01590","GPSC31_reference_01510","GPSC32_reference_01624","GPSC34_reference_01542","GPSC37_reference_01489","GPSC3_reference_01585","GPSC40_reference_01539","GPSC4_reference_01518","GPSC8_reference_01617","NC_017592_01514"
"group_1920","","hypothetical protein","12","12","1","1","1662","369","4","","155","155","155","","GPSC15_reference_01557","GPSC21_reference_01589","GPSC22_reference_01604","GPSC26_reference_01694","GPSC31_reference_01628","GPSC32_reference_01724","GPSC34_reference_01644","GPSC37_reference_01610","","GPSC40_reference_01665","GPSC4_reference_01644","GPSC8_reference_01744","NC_017592_01612"
"rsmE","","Ribosomal RNA small subunit methyltransferase E","12","12","1","1","1665","511","1","","743","743","743","","GPSC15_reference_01559","GPSC21_reference_01591","GPSC22_reference_01606","GPSC26_reference_01696","","GPSC32_reference_01726","GPSC34_reference_01646","GPSC37_reference_01612","GPSC3_reference_01691","GPSC40_reference_01667","GPSC4_reference_01646","GPSC8_reference_01746","NC_017592_01614"
"group_1922","","hypothetical protein","12","12","1","1","1775","2","46","","164","164","164","","GPSC15_reference_01575","GPSC21_reference_01611","GPSC22_reference_01624","GPSC26_reference_01714","GPSC31_reference_01645","GPSC32_reference_01741","GPSC34_reference_01657","GPSC37_reference_01637","","GPSC40_reference_01686","GPSC4_reference_01660","GPSC8_reference_01771","NC_017592_01640"
"group_1971","","hypothetical protein","12","12","1","1","2210","1","1181","","176","191","187","","GPSC15_reference_01266","GPSC21_reference_01302","GPSC22_reference_01305","","GPSC31_reference_01308","GPSC32_reference_01436","GPSC34_reference_01299","GPSC37_reference_01293","GPSC3_reference_01394","GPSC40_reference_01294","GPSC4_reference_01222","GPSC8_reference_01405","NC_017592_01307"
"group_1973","","hypothetical protein","12","12","1","1","2749","320","5","","254","254","254","","","GPSC21_reference_01347","GPSC22_reference_01347","GPSC26_reference_01447","GPSC31_reference_01363","GPSC32_reference_01489","GPSC34_reference_01343","GPSC37_reference_01336","GPSC3_reference_01447","GPSC40_reference_01338","GPSC4_reference_01375","GPSC8_reference_01461","NC_017592_01359"
"group_217","","hypothetical protein","12","12","1","1","2988","361","3","","356","995","703","","GPSC15_reference_00436","GPSC21_reference_00379","GPSC22_reference_00428","GPSC26_reference_00436","GPSC31_reference_00436","GPSC32_reference_00510","GPSC34_reference_00478","","GPSC3_reference_00442","GPSC40_reference_00460","GPSC4_reference_00409","GPSC8_reference_00506","NC_017592_00464"
"bmrA","","Multidrug resistance ABC transporter ATP-binding/permease protein BmrA","12","12","1","1","2806","331","3","","233","935","605","","GPSC15_reference_01332","GPSC21_reference_01377","","GPSC26_reference_01479","GPSC31_reference_01394","GPSC32_reference_01519","GPSC34_reference_01373","GPSC37_reference_01368","GPSC3_reference_01477","GPSC40_reference_01370","GPSC4_reference_01406","GPSC8_reference_01491","NC_017592_01390"
"group_252","btuD_1","Maltose/maltodextrin import ATP-binding protein MalK","12","12","1","1","566","6","10","","563","1091","906","AP023349_00289","GPSC15_reference_00248","GPSC21_reference_00204","GPSC22_reference_00246","","GPSC31_reference_00237","GPSC32_reference_00321","","GPSC37_reference_00271","GPSC3_reference_00270","GPSC40_reference_00278","GPSC4_reference_00219","GPSC8_reference_00292","NC_017592_00280"
"ybbA","","putative protein YbbA","12","12","1","1","4515","1","1226","","605","824","803","AP023349_01412","","GPSC21_reference_00840","GPSC22_reference_00799","GPSC26_reference_00824","GPSC31_reference_00813","GPSC32_reference_00883","GPSC34_reference_00837","GPSC37_reference_00829","","GPSC40_reference_00831","GPSC4_reference_00779","GPSC8_reference_00882","NC_017592_00824"
"group_268","","hypothetical protein","12","12","1","1","1125","450","1","","446","446","446","","GPSC15_reference_00594","GPSC21_reference_00615","GPSC22_reference_00591","GPSC26_reference_00602","GPSC31_reference_00604","GPSC32_reference_00669","GPSC34_reference_00636","","GPSC3_reference_00606","GPSC40_reference_00627","GPSC4_reference_00565","GPSC8_reference_00675","NC_017592_00618"
"kdgA","","KHG/KDPG aldolase","12","12","1","1","782","1","1535","","629","629","629","","GPSC15_reference_00317","GPSC21_reference_00267","GPSC22_reference_00310","GPSC26_reference_00303","GPSC31_reference_00303","GPSC32_reference_00390","GPSC34_reference_00358","","GPSC3_reference_00327","GPSC40_reference_00336","GPSC4_reference_00280","GPSC8_reference_00372","NC_017592_00350"
"kdgK","","2-dehydro-3-deoxygluconokinase","12","12","1","1","783","1","1534","","1001","1001","1001","","GPSC15_reference_00318","GPSC21_reference_00268","GPSC22_reference_00311","GPSC26_reference_00304","GPSC31_reference_00304","GPSC32_reference_00391","GPSC34_reference_00359","","GPSC3_reference_00328","GPSC40_reference_00337","GPSC4_reference_00281","GPSC8_reference_00373","NC_017592_00351"
"group_2981","","hypothetical protein","12","12","1","1","784","1","1533","","641","641","641","","GPSC15_reference_00319","GPSC21_reference_00269","GPSC22_reference_00312","GPSC26_reference_00305","GPSC31_reference_00305","GPSC32_reference_00392","GPSC34_reference_00360","","GPSC3_reference_00329","GPSC40_reference_00338","GPSC4_reference_00282","GPSC8_reference_00374","NC_017592_00352"
"kduD","","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","12","12","1","1","785","1","1532","","815","815","815","","GPSC15_reference_00320","GPSC21_reference_00270","GPSC22_reference_00313","GPSC26_reference_00306","GPSC31_reference_00306","GPSC32_reference_00393","GPSC34_reference_00361","","GPSC3_reference_00330","GPSC40_reference_00339","GPSC4_reference_00283","GPSC8_reference_00375","NC_017592_00353"
"ugl","","Unsaturated chondroitin disaccharide hydrolase","12","12","1","1","787","1","1530","","1190","1190","1190","","GPSC15_reference_00322","GPSC21_reference_00272","GPSC22_reference_00315","GPSC26_reference_00308","GPSC31_reference_00308","GPSC32_reference_00395","GPSC34_reference_00363","","GPSC3_reference_00332","GPSC40_reference_00341","GPSC4_reference_00285","GPSC8_reference_00377","NC_017592_00355"
"levE","","PTS system fructose-specific EIIB component","12","12","1","1","788","1","1529","","485","491","490","","GPSC15_reference_00323","GPSC21_reference_00273","GPSC22_reference_00316","GPSC26_reference_00309","GPSC31_reference_00309","GPSC32_reference_00396","GPSC34_reference_00364","","GPSC3_reference_00333","GPSC40_reference_00342","GPSC4_reference_00286","GPSC8_reference_00378","NC_017592_00356"
"agaC","","N-acetylgalactosamine permease IIC component 1","12","12","1","1","789","1","1528","","779","779","779","","GPSC15_reference_00324","GPSC21_reference_00274","GPSC22_reference_00317","GPSC26_reference_00310","GPSC31_reference_00310","GPSC32_reference_00397","GPSC34_reference_00365","","GPSC3_reference_00334","GPSC40_reference_00343","GPSC4_reference_00287","GPSC8_reference_00379","NC_017592_00357"
"manZ_3","","PTS system mannose-specific EIID component","12","12","1","1","790","1","1527","","818","818","818","","GPSC15_reference_00325","GPSC21_reference_00275","GPSC22_reference_00318","GPSC26_reference_00311","GPSC31_reference_00311","GPSC32_reference_00398","GPSC34_reference_00366","","GPSC3_reference_00335","GPSC40_reference_00344","GPSC4_reference_00288","GPSC8_reference_00380","NC_017592_00358"
"kdgR","","HTH-type transcriptional regulator KdgR","12","12","1","1","793","1","1524","","1001","1001","1001","","GPSC15_reference_00328","GPSC21_reference_00278","GPSC22_reference_00321","GPSC26_reference_00314","GPSC31_reference_00314","GPSC32_reference_00401","GPSC34_reference_00369","","GPSC3_reference_00338","GPSC40_reference_00347","GPSC4_reference_00291","GPSC8_reference_00383","NC_017592_00361"
"group_2988","","hypothetical protein","12","12","1","1","794","1","1523","","329","335","334","","GPSC15_reference_00329","GPSC21_reference_00279","GPSC22_reference_00322","GPSC26_reference_00315","GPSC31_reference_00315","GPSC32_reference_00402","GPSC34_reference_00370","","GPSC3_reference_00339","GPSC40_reference_00348","GPSC4_reference_00292","GPSC8_reference_00384","NC_017592_00362"
"group_3012","","hypothetical protein","12","12","1","1","2981","396","1","","356","356","356","","GPSC15_reference_00430","GPSC21_reference_00373","GPSC22_reference_00422","GPSC26_reference_00430","GPSC31_reference_00430","","GPSC34_reference_00472","GPSC37_reference_00445","GPSC3_reference_00436","GPSC40_reference_00453","GPSC4_reference_00403","GPSC8_reference_00500","NC_017592_00458"
"group_3021","","hypothetical protein","12","12","1","1","1398","313","36","","803","803","803","","GPSC15_reference_00520","GPSC21_reference_00545","GPSC22_reference_00522","GPSC26_reference_00524","GPSC31_reference_00536","GPSC32_reference_00601","GPSC34_reference_00567","GPSC37_reference_00542","","GPSC40_reference_00554","GPSC4_reference_00464","GPSC8_reference_00604","NC_017592_00547"
"group_3045","","hypothetical protein","12","12","1","1","199","1","1314","","347","347","347","","GPSC15_reference_00660","","GPSC22_reference_00659","GPSC26_reference_00680","GPSC31_reference_00679","GPSC32_reference_00739","GPSC34_reference_00699","GPSC37_reference_00682","GPSC3_reference_00673","GPSC40_reference_00692","GPSC4_reference_00635","GPSC8_reference_00742","NC_017592_00684"
"yvgN","","Glyoxal reductase","12","12","1","1","2731","15","9","","842","842","842","","GPSC15_reference_00735","GPSC21_reference_01335","GPSC22_reference_01337","GPSC26_reference_01434","GPSC31_reference_01352","GPSC32_reference_01477","GPSC34_reference_01332","GPSC37_reference_01325","GPSC3_reference_01435","","GPSC4_reference_01263","GPSC8_reference_01447","NC_017592_01348"
"pdxT","","Pyridoxal 5'-phosphate synthase subunit PdxT","12","12","1","1","4799","456","1","","581","581","581","","GPSC15_reference_00746","GPSC21_reference_01325","GPSC22_reference_01327","GPSC26_reference_01424","GPSC31_reference_01341","GPSC32_reference_01467","GPSC34_reference_01321","GPSC37_reference_01315","GPSC3_reference_01425","","GPSC4_reference_01253","GPSC8_reference_01437","NC_017592_01338"
"leuA_1","","2-isopropylmalate synthase","12","12","1","1","4348","10","18","","419","1562","519","AP023349_01310","GPSC15_reference_01129","GPSC21_reference_01140","GPSC22_reference_01155","GPSC26_reference_01243","GPSC31_reference_01150","GPSC32_reference_01275","GPSC34_reference_01164","","","GPSC40_reference_01177","GPSC4_reference_01075","GPSC8_reference_01260","NC_017592_01169"
"leuA_2","","2-isopropylmalate synthase","12","12","1","1","4344","10","19","","533","1094","657","","","GPSC21_reference_01141","GPSC22_reference_01156","GPSC26_reference_01244","GPSC31_reference_01151","GPSC32_reference_01276","GPSC34_reference_01165","GPSC37_reference_01151","GPSC3_reference_01224","GPSC40_reference_01178","GPSC4_reference_01076","GPSC8_reference_01261","NC_017592_01170"
"group_3120","","hypothetical protein","12","12","1","1","4290","1","1347","","170","170","170","","GPSC15_reference_01175","GPSC21_reference_01189","GPSC22_reference_01201","GPSC26_reference_01289","GPSC31_reference_01195","GPSC32_reference_01321","GPSC34_reference_01210","GPSC37_reference_01195","GPSC3_reference_01270","","GPSC4_reference_01120","GPSC8_reference_01307","NC_017592_01213"
"group_3294","","hypothetical protein","12","12","1","1","786","1","1531","","428","434","433","","GPSC15_reference_00321","GPSC21_reference_00271","GPSC22_reference_00314","GPSC26_reference_00307","GPSC31_reference_00307","GPSC32_reference_00394","GPSC34_reference_00362","","GPSC3_reference_00331","GPSC40_reference_00340","GPSC4_reference_00284","GPSC8_reference_00376","NC_017592_00354"
"group_3352","","hypothetical protein","12","12","1","1","4665","1","426","","89","89","89","","","GPSC21_reference_00897","GPSC22_reference_00917","GPSC26_reference_01010","GPSC31_reference_00928","GPSC32_reference_01003","GPSC34_reference_00955","GPSC37_reference_00945","GPSC3_reference_01142","GPSC40_reference_00945","GPSC4_reference_00892","GPSC8_reference_01000","NC_017592_00942"
"group_3355","","hypothetical protein","12","12","1","1","4728","1","292","","161","161","161","","","GPSC21_reference_00930","GPSC22_reference_00946","GPSC26_reference_00974","GPSC31_reference_00963","GPSC32_reference_01032","GPSC34_reference_00984","GPSC37_reference_00974","GPSC3_reference_01100","GPSC40_reference_00981","GPSC4_reference_00926","GPSC8_reference_01070","NC_017592_00973"
"group_3356","","hypothetical protein","12","12","1","1","4730","1","294","","566","566","566","","","GPSC21_reference_00932","GPSC22_reference_00948","GPSC26_reference_00972","GPSC31_reference_00965","GPSC32_reference_01034","GPSC34_reference_00986","GPSC37_reference_00976","GPSC3_reference_01098","GPSC40_reference_00983","GPSC4_reference_00928","GPSC8_reference_01072","NC_017592_00976"
"group_3357","","hypothetical protein","12","12","1","1","4731","1","295","","188","188","188","","","GPSC21_reference_00933","GPSC22_reference_00949","GPSC26_reference_00971","GPSC31_reference_00966","GPSC32_reference_01035","GPSC34_reference_00987","GPSC37_reference_00977","GPSC3_reference_01097","GPSC40_reference_00984","GPSC4_reference_00929","GPSC8_reference_01073","NC_017592_00977"
"group_3427","","hypothetical protein","12","12","1","1","1757","2","27","","1151","1151","1151","","","GPSC21_reference_01627","GPSC22_reference_01640","GPSC26_reference_01730","GPSC31_reference_01662","GPSC32_reference_01748","GPSC34_reference_01674","GPSC37_reference_01644","GPSC3_reference_01723","GPSC40_reference_01693","GPSC4_reference_01675","GPSC8_reference_01787","NC_017592_01656"
"btuD_2","","Vitamin B12 import ATP-binding protein BtuD","12","12","1","1","2201","1","1174","","122","878","581","","GPSC15_reference_01261","GPSC21_reference_01290","GPSC22_reference_01301","GPSC26_reference_01387","GPSC31_reference_01305","GPSC32_reference_01432","GPSC34_reference_01295","GPSC37_reference_01290","GPSC3_reference_01389","GPSC40_reference_01290","GPSC4_reference_01217","GPSC8_reference_01398",""
"group_3936","","hypothetical protein","12","12","1","1","2789","16","5","","428","434","428","","GPSC15_reference_01321","GPSC21_reference_01366","GPSC22_reference_01365","GPSC26_reference_01466","GPSC31_reference_01381","GPSC32_reference_01508","GPSC34_reference_01362","GPSC37_reference_01356","GPSC3_reference_01466","GPSC40_reference_01358","GPSC4_reference_01395","","NC_017592_01378"
"group_402","","hypothetical protein","12","12","1","1","3193","1","902","","728","728","728","","GPSC15_reference_00138","GPSC21_reference_00088","","GPSC26_reference_00120","GPSC31_reference_00118","GPSC32_reference_00215","GPSC34_reference_00168","GPSC37_reference_00156","GPSC3_reference_00157","GPSC40_reference_00165","GPSC4_reference_00113","GPSC8_reference_00185","NC_017592_00171"
"group_405","","hypothetical protein","12","12","1","1","2671","4","10","","350","599","503","","GPSC15_reference_00542","GPSC21_reference_00566","GPSC22_reference_00542","GPSC26_reference_00553","GPSC31_reference_00555","GPSC32_reference_00621","GPSC34_reference_00591","GPSC37_reference_00565","GPSC3_reference_00553","GPSC40_reference_00577","","GPSC8_reference_00627","NC_017592_00570"
"group_409","","hypothetical protein","12","12","1","1","4360","365","5","","740","1352","1289","","GPSC15_reference_01119","GPSC21_reference_01133","GPSC22_reference_01149","GPSC26_reference_01237","GPSC31_reference_01144","","GPSC34_reference_01158","GPSC37_reference_01144","GPSC3_reference_01217","GPSC40_reference_01171","GPSC4_reference_01069","GPSC8_reference_01254","NC_017592_01162"
"group_4424","","putative type I restriction enzymeP M protein","12","12","1","1","2906","4","16","","1463","1490","1465","","GPSC15_reference_00471","GPSC21_reference_00429","GPSC22_reference_00469","GPSC26_reference_00471","","GPSC32_reference_00550","GPSC34_reference_00512","GPSC37_reference_00489","GPSC3_reference_00483","GPSC40_reference_00503","GPSC4_reference_00513","GPSC8_reference_00543","NC_017592_00499"
"group_448","","hypothetical protein","12","12","1","1","795","1","1522","","242","536","266","","GPSC15_reference_00330","GPSC21_reference_00280","GPSC22_reference_00323","GPSC26_reference_00316","GPSC31_reference_00316","GPSC32_reference_00403","GPSC34_reference_00371","","GPSC3_reference_00340","GPSC40_reference_00349","GPSC4_reference_00293","GPSC8_reference_00385","NC_017592_00363"
"group_47","","IS5 family transposase ISSpn7","12","12","1","1","3600","1","148","","191","485","380","","GPSC15_reference_00988","GPSC21_reference_00967","GPSC22_reference_01002","GPSC26_reference_01183","","GPSC32_reference_01078","GPSC34_reference_01031","GPSC37_reference_01009","GPSC3_reference_01054","GPSC40_reference_01038","GPSC4_reference_00970","GPSC8_reference_01110","NC_017592_01034"
"nfrA2","","FMN reductase [NAD(P)H]","12","12","1","1","1576","25","2","","470","713","681","","GPSC15_reference_01507","GPSC21_reference_01536","GPSC22_reference_01531","GPSC26_reference_01642","GPSC31_reference_01559","GPSC32_reference_01674","GPSC34_reference_01595","GPSC37_reference_01540","GPSC3_reference_01638","GPSC40_reference_01590","","GPSC8_reference_01670","NC_017592_01564"
"group_532","","hypothetical protein","12","12","1","1","3667","18","10","","278","1178","1042","AP023349_02031","GPSC15_reference_01956","GPSC21_reference_02008","GPSC22_reference_02006","GPSC26_reference_02132","GPSC31_reference_02021","GPSC32_reference_00038","","GPSC37_reference_02015","","GPSC40_reference_02065","GPSC4_reference_02049","GPSC8_reference_02202","NC_017592_02046"
"group_574","","hypothetical protein","12","12","1","1","2566","310","2","","251","482","405","","GPSC15_reference_01870","GPSC21_reference_01918","GPSC22_reference_01927","GPSC26_reference_02043","GPSC31_reference_01935","","GPSC34_reference_01964","GPSC37_reference_01920","GPSC3_reference_02038","GPSC40_reference_01982","GPSC4_reference_01965","GPSC8_reference_02099","NC_017592_01966"
"group_599","","hypothetical protein","12","12","1","1","1376","22","14","","293","779","698","AP023349_00492","GPSC15_reference_00507","GPSC21_reference_00533","","GPSC26_reference_00513","GPSC31_reference_00524","GPSC32_reference_00588","","GPSC37_reference_00530","GPSC3_reference_00518","GPSC40_reference_00540","GPSC4_reference_00476","GPSC8_reference_00590","NC_017592_00535"
"leuD","","3-isopropylmalate dehydratase small subunit","12","12","1","1","4351","10","11","","140","359","340","","GPSC15_reference_01124","GPSC21_reference_01137","GPSC22_reference_01152","GPSC26_reference_01240","GPSC31_reference_01147","GPSC32_reference_01272","GPSC34_reference_01161","GPSC37_reference_01148","GPSC3_reference_01220","GPSC40_reference_01174","GPSC4_reference_01073","GPSC8_reference_01257",""
"fpgS_2","","Folylpolyglutamate synthase","12","12","1","1","623","29","2","","1310","1322","1320","","GPSC15_reference_00294","GPSC21_reference_00254","GPSC22_reference_00290","GPSC26_reference_00281","GPSC31_reference_00283","GPSC32_reference_00370","GPSC34_reference_00337","GPSC37_reference_00317","GPSC3_reference_00314","","GPSC4_reference_00267","GPSC8_reference_00342","NC_017592_00328"
"group_633","","IS200/IS605 family transposase ISStin10","12","12","1","1","781","1","1536","","215","215","215","","GPSC15_reference_00316","GPSC21_reference_00266","GPSC22_reference_00309","GPSC26_reference_00302","GPSC31_reference_00302","GPSC32_reference_00389","GPSC34_reference_00357","","GPSC3_reference_00326","GPSC40_reference_00335","GPSC4_reference_00279","GPSC8_reference_00371","NC_017592_00349"
"group_634","","hypothetical protein","12","12","1","1","1426","318","12","","419","824","608","","GPSC15_reference_00376","GPSC21_reference_00318","GPSC22_reference_00364","GPSC26_reference_00364","GPSC31_reference_00366","","GPSC34_reference_00409","GPSC37_reference_00380","GPSC3_reference_00380","GPSC40_reference_00395","GPSC4_reference_00340","GPSC8_reference_00438","NC_017592_00401"
"uvrB_1","","hypothetical protein","12","12","1","1","4558","1","1192","","2201","3350","3195","","GPSC15_reference_00826","GPSC21_reference_00850","GPSC22_reference_00809","GPSC26_reference_00830","GPSC31_reference_00823","GPSC32_reference_00893","GPSC34_reference_00847","GPSC37_reference_00839","GPSC3_reference_00879","GPSC40_reference_00841","","GPSC8_reference_00892","NC_017592_00834"
"dhaM","","PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM","12","12","1","1","3501","1","417","","125","380","331","","GPSC15_reference_01050","GPSC21_reference_01043","GPSC22_reference_01069","GPSC26_reference_00936","GPSC31_reference_01072","GPSC32_reference_01196","GPSC34_reference_01088","GPSC37_reference_01071","GPSC3_reference_00991","GPSC40_reference_01103","GPSC4_reference_01274","","NC_017592_01093"
"lacX","","Protein LacX, plasmid","12","12","1","1","1177","1","146","","344","476","366","","GPSC15_reference_01067","","GPSC22_reference_01087","GPSC26_reference_01030","GPSC31_reference_01092","GPSC32_reference_01216","GPSC34_reference_01105","GPSC37_reference_01089","GPSC3_reference_01163","GPSC40_reference_01120","GPSC4_reference_01014","GPSC8_reference_01187","NC_017592_01110"
"group_656","","hypothetical protein","12","12","1","1","3634","1","101","","251","251","251","","GPSC15_reference_01933","GPSC21_reference_01986","GPSC22_reference_01984","GPSC26_reference_02109","","GPSC32_reference_00016","GPSC34_reference_02028","GPSC37_reference_01993","GPSC3_reference_02104","GPSC40_reference_02043","GPSC4_reference_02027","GPSC8_reference_02178","NC_017592_02024"
"group_662","","hypothetical protein","12","12","1","1","1183","1","1293","","6188","6434","6406","","GPSC15_reference_00584","GPSC21_reference_00604","","GPSC26_reference_00592","GPSC31_reference_00594","GPSC32_reference_00659","GPSC34_reference_00627","GPSC37_reference_00603","GPSC3_reference_00595","GPSC40_reference_00617","GPSC4_reference_00556","GPSC8_reference_00666","NC_017592_00608"
"argG","","Argininosuccinate synthase","12","12","1","1","3389","1","926","","419","1196","797","AP023349_00189","GPSC15_reference_00129","GPSC21_reference_00074","GPSC22_reference_00115","GPSC26_reference_00102","","GPSC32_reference_00200","GPSC34_reference_00159","GPSC37_reference_00144","GPSC3_reference_00144","GPSC40_reference_00155","","GPSC8_reference_00168","NC_017592_00155"
"group_712","","hypothetical protein","12","12","1","1","3312","385","2","","173","227","222","","GPSC15_reference_00084","GPSC21_reference_00024","GPSC22_reference_00066","GPSC26_reference_00057","GPSC31_reference_00065","GPSC32_reference_00154","GPSC34_reference_00112","GPSC37_reference_00095","GPSC3_reference_00096","GPSC40_reference_00104","","GPSC8_reference_00118","NC_017592_00104"
"group_713","","hypothetical protein","12","12","1","1","3161","1","14","","428","953","727","","GPSC15_reference_00158","GPSC21_reference_00106","GPSC22_reference_00139","GPSC26_reference_00138","GPSC31_reference_00137","GPSC32_reference_00231","GPSC34_reference_00185","GPSC37_reference_00175","GPSC3_reference_00176","GPSC40_reference_00185","GPSC4_reference_00132","","NC_017592_00190"
"group_714","","hypothetical protein","12","12","1","1","791","1","1526","","293","293","293","","GPSC15_reference_00326","GPSC21_reference_00276","GPSC22_reference_00319","GPSC26_reference_00312","GPSC31_reference_00312","GPSC32_reference_00399","GPSC34_reference_00367","","GPSC3_reference_00336","GPSC40_reference_00345","GPSC4_reference_00289","GPSC8_reference_00381","NC_017592_00359"
"group_723","","hypothetical protein","12","12","1","1","1193","388","6","","218","362","350","","GPSC15_reference_00575","GPSC21_reference_00597","GPSC22_reference_00573","GPSC26_reference_00585","GPSC31_reference_00588","GPSC32_reference_00652","GPSC34_reference_00622","GPSC37_reference_00596","GPSC3_reference_00586","GPSC40_reference_00610","GPSC4_reference_00550","GPSC8_reference_00659",""
"group_793","","hypothetical protein","12","12","1","1","457","145","1","","209","323","304","AP023349_00209","GPSC15_reference_00172","GPSC21_reference_00121","","GPSC26_reference_00151","GPSC31_reference_00153","GPSC32_reference_00244","GPSC34_reference_00198","GPSC37_reference_00187","GPSC3_reference_00194","","GPSC4_reference_00143","GPSC8_reference_00215","NC_017592_00204"
"group_833","","hypothetical protein","12","12","1","1","4739","1","297","","257","857","786","AP023349_01142","","GPSC21_reference_00935","GPSC22_reference_00951","GPSC26_reference_00969","GPSC31_reference_00968","GPSC32_reference_01037","GPSC34_reference_00989","GPSC37_reference_00979","GPSC3_reference_01095","GPSC40_reference_00986","GPSC4_reference_00931","GPSC8_reference_01075",""
"lagD_2","","Lactococcin-G-processing and transport ATP-binding protein LagD","12","12","1","1","3140","1","937","","338","2219","1377","","GPSC15_reference_00133","GPSC21_reference_00080","GPSC22_reference_00118","GPSC26_reference_00104","GPSC31_reference_00109","GPSC32_reference_00202","GPSC34_reference_00162","GPSC37_reference_00146","GPSC3_reference_00147","GPSC40_reference_00157","","GPSC8_reference_00172","NC_017592_00161"
